,Metric,English,Comments
Density ,7.85 g/cc,0.284 lb/in³,
"Hardness, Knoop ",311,311,Converted from Rockwell C hardness.
"Hardness, Vickers ",301,301,Converted from Rockwell C hardness.
Bulk Modulus ,160 GPa,23200 ksi,Typical for steel.
Machinability ,65 %,65 %,annealed and cold drawn. Based on AISI 1212 steel as 100% machinability.
Charpy Impact  ,"24.0 J
@Temperature -185 °C","17.7 ft-lb
@Temperature -301 °F",
 ,"30.0 J
@Temperature -130 °C","22.1 ft-lb
@Temperature -202 °F",
 ,"66.0 J
@Temperature -73.0 °C","48.7 ft-lb
@Temperature -99.4 °F",
 ,"85.0 J
@Temperature -18.0 °C","62.7 ft-lb
@Temperature -0.400 °F",
 ,"89.0 J
@Temperature 38.0 °C","65.6 ft-lb
@Temperature 100 °F",
Electrical Resistivity ,0.0000234 ohm-cm,0.0000234 ohm-cm,Typical steel
Specific Heat Capacity ,0.475 J/g-°C,0.114 BTU/lb-°F,Typical steel
"Carbon, C ",0.37 - 0.44 %,0.37 - 0.44 %,
"Iron, Fe ",96.485 - 97.93 %,96.485 - 97.93 %,As remainder
"Molybdenum, Mo ",0.15 - 0.25 %,0.15 - 0.25 %,
"Phosphorous, P ",<= 0.035 %,<= 0.035 %,
"Sulfur, S ",<= 0.040 %,<= 0.040 %,
"Hardness, Rockwell C ",30,30,
Modulus of Elasticity ,205 GPa,29700 ksi,Typical for steel
Poissons Ratio ,0.29,0.29,Calculated
Shear Modulus ,80.0 GPa,11600 ksi,Typical for steel
Thermal Conductivity ,46.6 W/m-K,323 BTU-in/hr-ft²-°F,Typical steel
"Chromium, Cr ",0.35 - 0.65 %,0.35 - 0.65 %,
"Manganese, Mn ",0.70 - 1.05 %,0.70 - 1.05 %,
"Nickel, Ni ",0.35 - 0.75 %,0.35 - 0.75 %,
"Silicon, Si ",0.15 - 0.30 %,0.15 - 0.30 %,
