,Metric,English,Comments
Density ,7.85 g/cc,0.284 lb/in³,
"Tensile Strength, Ultimate ",828 MPa,120000 psi,
Elongation at Break ,18 %,18 %,
Bulk Modulus ,160 GPa,23200 ksi,Typical for steel.
Shear Modulus ,80.0 GPa,11600 ksi,Typical for steel.
Specific Heat Capacity ,0.452 J/g-°C,0.108 BTU/lb-°F,
"Carbon, C ",0.14 - 0.21 %,0.14 - 0.21 %,
"Iron, Fe ",95 %,95 %,as balance
"Molybdenum, Mo ",0.40 - 0.60 %,0.40 - 0.60 %,
"Phosphorous, P ",<= 0.035 %,<= 0.035 %,
"Sulfur, S ",<= 0.040 %,<= 0.040 %,
"Tensile Strength, Yield ",690 MPa,100000 psi,
Modulus of Elasticity ,205 GPa,29700 ksi,Typical for steel
Poissons Ratio ,0.29,0.29,Calculated
Thermal Conductivity ,46.6 W/m-K,323 BTU-in/hr-ft²-°F,Typical steel
"Chromium, Cr ",1.0 - 1.5 %,1.0 - 1.5 %,
"Manganese, Mn ",0.95 - 1.3 %,0.95 - 1.3 %,
"Nickel, Ni ",1.2 - 1.5 %,1.2 - 1.5 %,
"Silicon, Si ",0.15 - 0.35 %,0.15 - 0.35 %,
"Vanadium, V ",0.030 - 0.080 %,0.030 - 0.080 %,
