,Metric,English,Comments
"Hardness, Vickers ",160,160,
"Tensile Strength, Yield  ","290 MPa
@Strain 0.200 %,
Temperature 400 °C","42100 psi
@Strain 0.200 %,
Temperature 752 °F",
 ,"400 MPa
@Strain 0.200 %,
Temperature 20.0 °C","58000 psi
@Strain 0.200 %,
Temperature 68.0 °F",
Reduction of Area ,68 %,68 %,
Thermal Conductivity  ,"15.0 W/m-K
@Temperature 20.0 °C","104 BTU-in/hr-ft²-°F
@Temperature 68.0 °F",
 ,"16.0 W/m-K
@Temperature 100 °C","111 BTU-in/hr-ft²-°F
@Temperature 212 °F",
 ,"19.0 W/m-K
@Temperature 300 °C","132 BTU-in/hr-ft²-°F
@Temperature 572 °F",
 ,"21.0 W/m-K
@Temperature 500 °C","146 BTU-in/hr-ft²-°F
@Temperature 932 °F",
"Carbon, C ",0.020 %,0.020 %,All Weld Metal
 ,<= 0.0250 %,<= 0.0250 %,AIM
 ,<= 0.0250 %,<= 0.0250 %,Nominal
"Manganese, Mn ",1.7 %,1.7 %,All Weld Metal
 ,1.8 %,1.8 %,AIM
 ,1.8 %,1.8 %,Nominal
"Nickel, Ni ",11.5 %,11.5 %,All Weld Metal
 ,12 %,12 %,AIM
 ,12.3 %,12.3 %,Nominal
"Phosphorous, P ",0.010 %,0.010 %,All Weld Metal
 ,<= 0.0250 %,<= 0.0250 %,AIM
 ,<= 0.0250 %,<= 0.0250 %,Nominal
"Sulfur, S ",0.013 %,0.013 %,All Weld Metal
 ,<= 0.0150 %,<= 0.0150 %,AIM
 ,<= 0.0150 %,<= 0.0150 %,Nominal
"Tensile Strength, Ultimate  ","440 MPa
@Temperature 400 °C","63800 psi
@Temperature 752 °F",
 ,"610 MPa
@Temperature 20.0 °C","88500 psi
@Temperature 68.0 °F",
Elongation at Break  ,"29 %
@Temperature 400 °C","29 %
@Temperature 752 °F",
 ,"37 %
@Temperature 20.0 °C","37 %
@Temperature 68.0 °F",
Charpy Impact  ,"50.0 J
@Temperature -196 °C","36.9 ft-lb
@Temperature -321 °F",
 ,"130 J
@Temperature 20.0 °C","95.9 ft-lb
@Temperature 68.0 °F",
"Chromium, Cr ",18.3 %,18.3 %,Nominal
 ,18.5 %,18.5 %,All Weld Metal
 ,18.5 %,18.5 %,AIM
"Molybdenum, Mo ",2.6 %,2.6 %,AIM
 ,2.6 %,2.6 %,Nominal
 ,2.6 %,2.6 %,All Weld Metal
"Nitrogen, N ",0.050 %,0.050 %,Nominal
 ,0.060 %,0.060 %,All Weld Metal
 ,<= 0.0600 %,<= 0.0600 %,AIM
"Silicon, Si ",0.90 %,0.90 %,AIM
 ,0.90 %,0.90 %,Nominal
 ,0.90 %,0.90 %,All Weld Metal
