,Metric,English,Comments
Density ,7.85 g/cc,0.284 lb/in³,
"Hardness, Brinell ",211,211,
"Hardness, Rockwell B ",94,94,Converted from Brinell
"Hardness, Vickers ",222,222,Converted from Brinell
"Tensile Strength, Yield ",655 MPa,95000 psi,
Modulus of Elasticity ,205 GPa,29700 ksi,Typical for steel
Poissons Ratio ,0.29,0.29,Calculated
Shear Modulus ,80.0 GPa,11600 ksi,Typical for steel
Electrical Resistivity ,0.0000234 ohm-cm,0.0000234 ohm-cm,Typical steel
Specific Heat Capacity ,0.475 J/g-°C,0.114 BTU/lb-°F,Typical steel
"Carbon, C ",0.38 - 0.43 %,0.38 - 0.43 %,
"Iron, Fe ",96.645 - 97.77 %,96.645 - 97.77 %,As remainder
"Molybdenum, Mo ",0.15 - 0.25 %,0.15 - 0.25 %,
"Phosphorous, P ",<= 0.035 %,<= 0.035 %,
"Sulfur, S ",<= 0.040 %,<= 0.040 %,
"Hardness, Knoop ",234,234,Converted from Brinell
"Hardness, Rockwell C ",16,16,"Converted from Brinell hardness. Value below normal HRC range, for comparison only."
"Tensile Strength, Ultimate ",793 MPa,115000 psi,
Elongation at Break ,21 %,21 %,in 50 mm
Bulk Modulus ,160 GPa,23200 ksi,Typical for steel.
Machinability ,65 %,65 %,annealed and cold drawn. Based on AISI 1212 steel as 100% machinability.
Thermal Conductivity ,46.6 W/m-K,323 BTU-in/hr-ft²-°F,Typical steel
"Chromium, Cr ",0.40 - 0.60 %,0.40 - 0.60 %,
"Manganese, Mn ",0.75 - 1.0 %,0.75 - 1.0 %,
"Nickel, Ni ",0.40 - 0.70 %,0.40 - 0.70 %,
"Silicon, Si ",0.15 - 0.30 %,0.15 - 0.30 %,
