,Metric,English,Comments
Density ,7.85 g/cc,0.284 lb/in³,
"Hardness, Brinell ",269,269,
"Hardness, Rockwell B ",99,99,Converted from Brinell
"Hardness, Vickers ",284,284,Converted from Brinell
"Tensile Strength, Yield ",786 MPa,114000 psi,
Reduction of Area ,60.7 %,60.7 %,
Bulk Modulus ,159 GPa,23100 ksi,Estimated from elastic modulus
Machinability ,50 %,50 %,annealed and cold drawn. Based on 100% machinability for AISI 1212 steel.
Electrical Resistivity  ,"0.0000248 ohm-cm
@Temperature 20.0 °C","0.0000248 ohm-cm
@Temperature 68.0 °F",
 ,"0.0000298 ohm-cm
@Temperature 100 °C","0.0000298 ohm-cm
@Temperature 212 °F",
 ,"0.0000552 ohm-cm
@Temperature 400 °C","0.0000552 ohm-cm
@Temperature 752 °F",
 ,"0.0000797 ohm-cm
@Temperature 600 °C","0.0000797 ohm-cm
@Temperature 1110 °F",
"CTE, linear  ","12.3 µm/m-°C
@Temperature 20.0 °C","6.83 µin/in-°F
@Temperature 68.0 °F","specimen oil hardened, 600°C (1110°F) temper"
 ,"12.4 µm/m-°C
@Temperature 250 °C","6.89 µin/in-°F
@Temperature 482 °F",
 ,"12.7 µm/m-°C
@Temperature 20.0 °C","7.06 µin/in-°F
@Temperature 68.0 °F","specimen oil hardened, 600°C (1110°F) temper"
 ,"13.7 µm/m-°C
@Temperature 250 °C","7.61 µin/in-°F
@Temperature 482 °F","specimen oil hardened, 600°C (1110°F) temper"
 ,"13.7 µm/m-°C
@Temperature 500 °C","7.61 µin/in-°F
@Temperature 932 °F",
 ,"14.5 µm/m-°C
@Temperature 500 °C","8.06 µin/in-°F
@Temperature 932 °F","specimen oil hardened, 600°C (1110°F) temper"
Thermal Conductivity ,44.5 W/m-K,309 BTU-in/hr-ft²-°F,Typical steel
"Carbon, C ",0.38 - 0.43 %,0.38 - 0.43 %,
"Iron, Fe ",95.175 - 96.27 %,95.175 - 96.27 %,As remainder
"Molybdenum, Mo ",0.20 - 0.30 %,0.20 - 0.30 %,
"Phosphorous, P ",<= 0.025 %,<= 0.025 %,
"Sulfur, S ",<= 0.020 %,<= 0.020 %,
"Hardness, Knoop ",294,294,Converted from Brinell
"Hardness, Rockwell C ",27,27,Converted from Brinell
"Tensile Strength, Ultimate ",924 MPa,134000 psi,
Elongation at Break ,19.7 %,19.7 %,in 50 mm
Modulus of Elasticity ,200 GPa,29000 ksi,AISI 4340
Poissons Ratio ,0.29,0.29,Typical for steel
Shear Modulus ,78.0 GPa,11300 ksi,Estimated from elastic modulus
Specific Heat Capacity ,0.475 J/g-°C,0.114 BTU/lb-°F,Typical 4000 series steel
"Chromium, Cr ",0.70 - 0.90 %,0.70 - 0.90 %,
"Manganese, Mn ",0.65 - 0.85 %,0.65 - 0.85 %,
"Nickel, Ni ",1.65 - 2.0 %,1.65 - 2.0 %,
"Silicon, Si ",0.15 - 0.30 %,0.15 - 0.30 %,
