,Metric,English,Comments
Density ,7.80 g/cc,0.282 lb/in³,Typical of ASTM Steel
"Hardness, Brinell ",210 - 264,210 - 264,based on conversion from tensile strength
"Hardness, Rockwell C ",20 - 28,20 - 28,
"Tensile Strength, Yield ",>= 621 MPa,>= 90000 psi,
"Bend Radius, Minimum ",2.0 t,2.0 t,"≤1"" W; ASTM A6 PARA. S14"
 ,3.0 t,3.0 t,">1 to 2"" W; ASTM A6 PARA. S14"
 ,4.0 t,4.0 t,">2 to 4"" W; ASTM A6 PARA. S14"
"Boron, B ",0.0010 - 0.0050 %,0.0010 - 0.0050 %,
"Chromium, Cr ",0.85 - 1.2 %,0.85 - 1.2 %,
"Manganese, Mn ",0.45 - 0.70 %,0.45 - 0.70 %,
"Nickel, Ni ",1.2 - 1.5 %,1.2 - 1.5 %,
"Silicon, Si ",0.20 - 0.35 %,0.20 - 0.35 %,
"Hardness, Rockwell B ",95,95,based on conversion from tensile strength
Tensile Strength at Break ,689 - 896 MPa,100000 - 130000 psi,
Elongation at Break ,>= 18 %,>= 18 %,"in 2"""
"Carbon, C ",0.12 - 0.21 %,0.12 - 0.21 %,
"Iron, Fe ",>= 95.365 %,>= 95.365 %,
"Molybdenum, Mo ",0.45 - 0.60 %,0.45 - 0.60 %,
"Phosphorous, P ",<= 0.035 %,<= 0.035 %,
"Sulfur, S ",<= 0.035 %,<= 0.035 %,
