,Metric,English,Comments
Density ,7.90 g/cc,0.285 lb/in³,
"Hardness, Vickers ",180,180,
"Tensile Strength, Yield ","420 MPa
@Strain 0.200 %","60900 psi
@Strain 0.200 %",
Reduction of Area ,60 %,60 %,
"CTE, linear ","18.0 µm/m-°C
@Temperature 20.0 - 400 °C","10.0 µin/in-°F
@Temperature 68.0 - 752 °F",
"Carbon, C ",0.080 %,0.080 %,
"Manganese, Mn ",1.6 %,1.6 %,
"Nitrogen, N ",0.050 %,0.050 %,
"Silicon, Si ",0.80 %,0.80 %,
"Tensile Strength, Ultimate ",640 MPa,92800 psi,
Elongation at Break ,35 %,35 %,
Charpy Impact ,110 J,81.1 ft-lb,
Thermal Conductivity  ,"14.0 W/m-K
@Temperature 20.0 °C","97.2 BTU-in/hr-ft²-°F
@Temperature 68.0 °F",
 ,"15.0 W/m-K
@Temperature 100 °C","104 BTU-in/hr-ft²-°F
@Temperature 212 °F",
 ,"17.0 W/m-K
@Temperature 300 °C","118 BTU-in/hr-ft²-°F
@Temperature 572 °F",
 ,"19.0 W/m-K
@Temperature 500 °C","132 BTU-in/hr-ft²-°F
@Temperature 932 °F",
"Chromium, Cr ",23 %,23 %,
"Nickel, Ni ",13 %,13 %,
"Phosphorous, P ",0.020 %,0.020 %,
"Sulfur, S ",0.011 %,0.011 %,
