,Metric,English,Comments
"Carbon, C ",<= 0.0250 %,<= 0.0250 %,Strip electrode
 ,<= 0.0300 %,<= 0.0300 %,Overlay
"Iron, Fe ",<= 9.00 %,<= 9.00 %,Strip electrode
 ,8.00 - 10.0 %,8.00 - 10.0 %,Overlay
"Nickel, Ni ",57 %,57 %,Strip electrode
 ,57.0 - 59.0 %,57.0 - 59.0 %,Overlay
"Phosphorous, P ",<= 0.0100 %,<= 0.0100 %,Strip electrode
"Sulfur, S ",<= 0.0100 %,<= 0.0100 %,Strip electrode
"Chromium, Cr ",28.5 - 30.0 %,28.5 - 30.0 %,Overlay
 ,30 %,30 %,Strip electrode
"Manganese, Mn ",1.3 %,1.3 %,Strip electrode
"Niobium, Nb (Columbium, Cb) ",1.20 - 1.70 %,1.20 - 1.70 %,Overlay
 ,1.8 %,1.8 %,Strip electrode
"Silicon, Si ",0.10 %,0.10 %,Strip electrode
