,Metric,English,Comments
"Hardness, Brinell ",455 - 525,455 - 525,
Tensile Strength ,1450 MPa,210000 psi,
Elongation at Break ,12 %,12 %,2[in]
"Boron, B ",0.0030 %,0.0030 %,
"Chromium, Cr ",1.0 %,1.0 %,
"Manganese, Mn ",1.5 %,1.5 %,
"Nickel, Ni ",0.70 %,0.70 %,
"Silicon, Si ",0.55 %,0.55 %,
"Hardness, Rockwell C ",48 - 53,48 - 53,
"Tensile Strength, Yield ",1240 MPa,180000 psi,
"Carbon, C ",0.31 %,0.31 %,
"Iron, Fe ",95.547 %,95.547 %,
"Molybdenum, Mo ",0.35 %,0.35 %,
"Phosphorous, P ",0.025 %,0.025 %,
"Sulfur, S ",0.015 %,0.015 %,
