,Metric,English,Comments
Density ,7.80 g/cc,0.282 lb/in³,Typical of ASTM Steel
Modulus of Elasticity ,200 GPa,29000 ksi,Typical Carbon Steel
Poissons Ratio ,0.29,0.29,Typical Carbon Steel
Electrical Resistivity ,0.0000170 ohm-cm,0.0000170 ohm-cm,Typical Carbon Steel
"CTE, linear ",12.0 µm/m-°C,6.67 µin/in-°F,Typical Carbon Steel
Thermal Conductivity ,52.0 W/m-K,361 BTU-in/hr-ft²-°F,Typical Carbon Steel
"Carbon, C ",0.15 - 0.80 %,0.15 - 0.80 %,
"Iron, Fe ",96.245 %,96.245 %,as balance
"Molybdenum, Mo ",0.15 - 0.25 %,0.15 - 0.25 %,
"Phosphorous, P ",0.035 %,0.035 %,
"Sulfur, S ",0.040 %,0.040 %,
Bulk Modulus ,160 GPa,23200 ksi,Typical for Steel
Shear Modulus ,80.0 GPa,11600 ksi,Typical for Steel
Specific Heat Capacity ,0.470 J/g-°C,0.112 BTU/lb-°F,Typical Carbon Steel
"Chromium, Cr ",0.35 - 0.65 %,0.35 - 0.65 %,
"Manganese, Mn ",0.85 - 1.15 %,0.85 - 1.15 %,
"Nickel, Ni ",0.90 - 1.1 %,0.90 - 1.1 %,
"Silicon, Si ",0.20 - 0.35 %,0.20 - 0.35 %,
"Vanadium, V ",0.030 - 0.080 %,0.030 - 0.080 %,
