,Metric,English,Comments
Density ,7.80 g/cc,0.282 lb/in³,Typical of ASTM Steel
"Tensile Strength, Ultimate ",620 - 760 MPa,89900 - 110000 psi,
Elongation at Break ,19 %,19 %,in 50mm
Bulk Modulus ,160 GPa,23200 ksi,Typical for Steel
Shear Modulus ,80.0 GPa,11600 ksi,Typical for Steel
Electrical Resistivity ,0.0000170 ohm-cm,0.0000170 ohm-cm,Typical Carbon Steel
"CTE, linear ",12.0 µm/m-°C,6.67 µin/in-°F,Typical Carbon Steel
Thermal Conductivity ,52.0 W/m-K,361 BTU-in/hr-ft²-°F,Typical Carbon Steel
"Boron, B ",0.0050 %,0.0050 %,
"Chromium, Cr ",0.25 %,0.25 %,
"Iron, Fe ",97.115 %,97.115 %,as balance
"Molybdenum, Mo ",0.080 %,0.080 %,
"Phosphorous, P ",0.035 %,0.035 %,
"Sulfur, S ",0.040 %,0.040 %,
"Tensile Strength, Yield ",485 MPa,70300 psi,
Modulus of Elasticity ,200 GPa,29000 ksi,Typical Carbon Steel
Poissons Ratio ,0.29,0.29,Typical Carbon Steel
Specific Heat Capacity ,0.470 J/g-°C,0.112 BTU/lb-°F,Typical Carbon Steel
"Carbon, C ",0.22 %,0.22 %,
"Copper, Cu ",>= 0.35 %,>= 0.35 %,
"Manganese, Mn ",1.1 - 1.6 %,1.1 - 1.6 %,
"Nickel, Ni ",0.25 %,0.25 %,
"Silicon, Si ",0.20 - 0.60 %,0.20 - 0.60 %,
"Vanadium, V ",0.080 %,0.080 %,
