,Metric,English,Comments
Density ,7.80 g/cc,0.282 lb/in³,Typical of ASTM Steel
"Hardness, Brinell ",190,190,Typical
 ,>= 228,>= 228,based on conversion from tensile strength
Tensile Strength at Break ,621 - 689 MPa,90000 - 100000 psi,
Elongation at Break ,>= 17 %,>= 17 %,"in 2"", > 24"" W"
"Carbon, C ",<= 0.19 %,<= 0.19 %,
"Copper, Cu ",0.25 - 0.40 %,0.25 - 0.40 %,
"Manganese, Mn ",0.80 - 1.35 %,0.80 - 1.35 %,
"Phosphorous, P ",<= 0.035 %,<= 0.035 %,
"Sulfur, S ",<= 0.040 %,<= 0.040 %,
"Hardness, Rockwell B ",91 - 98,91 - 98,based on conversion from tensile strength
"Tensile Strength, Yield ",>= 483 MPa,>= 70000 psi,
"Bend Radius, Minimum ",2.0 t,2.0 t,"≤1"" W; ASTM A6 PARA. S14"
 ,3.0 t,3.0 t,">1 to 2"" W; ASTM A6 PARA. S14"
 ,4.0 t,4.0 t,">2 to 4"" W; ASTM A6 PARA. S14"
"Chromium, Cr ",0.40 - 0.70 %,0.40 - 0.70 %,
"Iron, Fe ",>= 96.035 %,>= 96.035 %,
"Nickel, Ni ",<= 0.50 %,<= 0.50 %,
"Silicon, Si ",0.20 - 0.65 %,0.20 - 0.65 %,
"Vanadium, V ",0.020 - 0.10 %,0.020 - 0.10 %,
