,Metric,English,Comments
Density ,7.90 g/cc,0.285 lb/in³,
"Hardness, Vickers ",160,160,
"Tensile Strength, Yield  ","290 MPa
@Strain 0.200 %,
Temperature 400 °C","42100 psi
@Strain 0.200 %,
Temperature 752 °F",
 ,"390 MPa
@Strain 0.200 %,
Temperature 20.0 °C","56600 psi
@Strain 0.200 %,
Temperature 68.0 °F",
Reduction of Area ,60 %,60 %,
"CTE, linear ","18.0 µm/m-°C
@Temperature 20.0 - 400 °C","10.0 µin/in-°F
@Temperature 68.0 - 752 °F",
"Maximum Service Temperature, Air ",350 °C,662 °F,
"Carbon, C ",0.020 %,0.020 %,All-Weld Metal
 ,<= 0.0250 %,<= 0.0250 %,AIM
"Manganese, Mn ",1.6 %,1.6 %,All-Weld Metal
 ,1.8 %,1.8 %,AIM
"Nickel, Ni ",10.5 %,10.5 %,AIM
 ,10.5 %,10.5 %,All-Weld Metal
"Phosphorous, P ",0.010 %,0.010 %,All-Weld Metal
 ,<= 0.0250 %,<= 0.0250 %,AIM
"Sulfur, S ",0.011 %,0.011 %,All-Weld Metal
 ,<= 0.0150 %,<= 0.0150 %,AIM
"Tensile Strength, Ultimate  ","440 MPa
@Temperature 400 °C","63800 psi
@Temperature 752 °F",
 ,"600 MPa
@Temperature 20.0 °C","87000 psi
@Temperature 68.0 °F",
Elongation at Break  ,"24 %
@Temperature 400 °C","24 %
@Temperature 752 °F",
 ,"42 %
@Temperature 20.0 °C","42 %
@Temperature 68.0 °F",
Charpy Impact  ,"50.0 J
@Temperature -196 °C","36.9 ft-lb
@Temperature -321 °F",
 ,"120 J
@Temperature 20.0 °C","88.5 ft-lb
@Temperature 68.0 °F",
Thermal Conductivity  ,"15.0 W/m-K
@Temperature 20.0 °C","104 BTU-in/hr-ft²-°F
@Temperature 68.0 °F",
 ,"16.0 W/m-K
@Temperature 100 °C","111 BTU-in/hr-ft²-°F
@Temperature 212 °F",
 ,"19.0 W/m-K
@Temperature 300 °C","132 BTU-in/hr-ft²-°F
@Temperature 572 °F",
 ,"21.0 W/m-K
@Temperature 500 °C","146 BTU-in/hr-ft²-°F
@Temperature 932 °F",
"Chromium, Cr ",20 %,20 %,AIM
 ,20 %,20 %,All-Weld Metal
"Molybdenum, Mo ",<= 0.300 %,<= 0.300 %,AIM
"Nitrogen, N ",<= 0.0600 %,<= 0.0600 %,AIM
 ,<= 0.0600 %,<= 0.0600 %,All-Weld Metal
"Silicon, Si ",0.80 %,0.80 %,All-Weld Metal
 ,0.90 %,0.90 %,AIM
