,Metric,English,Comments
Density ,8.00 g/cc,0.289 lb/in³,
"Hardness, Rockwell B ",<= 90,<= 90,
"Tensile Strength, Yield  ",">= 220 MPa
@Strain 0.200 %",">= 31900 psi
@Strain 0.200 %",10 mm wall thickness
 ,">= 250 MPa
@Strain 1.00 %",">= 36300 psi
@Strain 1.00 %",10 mm wall thickness
 ,">= 110 MPa
@Strain 0.200 %,
Temperature 600 °C",">= 16000 psi
@Strain 0.200 %,
Temperature 1110 °F",
 ,">= 115 MPa
@Strain 0.200 %,
Temperature 550 °C",">= 16700 psi
@Strain 0.200 %,
Temperature 1020 °F",
 ,">= 120 MPa
@Strain 0.200 %,
Temperature 500 °C",">= 17400 psi
@Strain 0.200 %,
Temperature 932 °F",
 ,">= 123 MPa
@Strain 0.200 %,
Temperature 450 °C",">= 17800 psi
@Strain 0.200 %,
Temperature 842 °F",
 ,">= 125 MPa
@Strain 0.200 %,
Temperature 400 °C",">= 18100 psi
@Strain 0.200 %,
Temperature 752 °F",
 ,">= 130 MPa
@Strain 0.200 %,
Temperature 350 °C",">= 18900 psi
@Strain 0.200 %,
Temperature 662 °F",
 ,">= 135 MPa
@Strain 0.200 %,
Temperature 300 °C",">= 19600 psi
@Strain 0.200 %,
Temperature 572 °F",
 ,">= 135 MPa
@Strain 1.00 %,
Temperature 500 °C",">= 19600 psi
@Strain 1.00 %,
Temperature 932 °F",
 ,">= 135 MPa
@Strain 1.00 %,
Temperature 600 °C",">= 19600 psi
@Strain 1.00 %,
Temperature 1110 °F",
 ,">= 140 MPa
@Strain 1.00 %,
Temperature 550 °C",">= 20300 psi
@Strain 1.00 %,
Temperature 1020 °F",
 ,">= 140 MPa
@Strain 0.200 %,
Temperature 250 °C",">= 20300 psi
@Strain 0.200 %,
Temperature 482 °F",
 ,">= 148 MPa
@Strain 1.00 %,
Temperature 450 °C",">= 21500 psi
@Strain 1.00 %,
Temperature 842 °F",
 ,">= 150 MPa
@Strain 1.00 %,
Temperature 400 °C",">= 21800 psi
@Strain 1.00 %,
Temperature 752 °F",
 ,">= 150 MPa
@Strain 0.200 %,
Temperature 200 °C",">= 21800 psi
@Strain 0.200 %,
Temperature 392 °F",
 ,">= 155 MPa
@Strain 1.00 %,
Temperature 350 °C",">= 22500 psi
@Strain 1.00 %,
Temperature 662 °F",
 ,">= 160 MPa
@Strain 1.00 %,
Temperature 300 °C",">= 23200 psi
@Strain 1.00 %,
Temperature 572 °F",
 ,">= 165 MPa
@Strain 0.200 %,
Temperature 150 °C",">= 23900 psi
@Strain 0.200 %,
Temperature 302 °F",
 ,">= 170 MPa
@Strain 1.00 %,
Temperature 250 °C",">= 24700 psi
@Strain 1.00 %,
Temperature 482 °F",
 ,">= 180 MPa
@Strain 1.00 %,
Temperature 200 °C",">= 26100 psi
@Strain 1.00 %,
Temperature 392 °F",
 ,">= 180 MPa
@Strain 0.200 %,
Temperature 100 °C",">= 26100 psi
@Strain 0.200 %,
Temperature 212 °F",
 ,">= 195 MPa
@Strain 1.00 %,
Temperature 150 °C",">= 28300 psi
@Strain 1.00 %,
Temperature 302 °F",
 ,">= 210 MPa
@Strain 0.200 %,
Temperature 50.0 °C",">= 30500 psi
@Strain 0.200 %,
Temperature 122 °F",
 ,">= 215 MPa
@Strain 1.00 %,
Temperature 100 °C",">= 31200 psi
@Strain 1.00 %,
Temperature 212 °F",
 ,">= 240 MPa
@Strain 1.00 %,
Temperature 50.0 °C",">= 34800 psi
@Strain 1.00 %,
Temperature 122 °F",
Modulus of Elasticity ,200 GPa,29000 ksi,
 ,"165 GPa
@Temperature 500 °C","23900 ksi
@Temperature 932 °F",
 ,"172 GPa
@Temperature 400 °C","24900 ksi
@Temperature 752 °F",
 ,"179 GPa
@Temperature 300 °C","26000 ksi
@Temperature 572 °F",
 ,"186 GPa
@Temperature 200 °C","27000 ksi
@Temperature 392 °F",
 ,"194 GPa
@Temperature 100 °C","28100 ksi
@Temperature 212 °F",
