,Metric,English,Comments
"Hardness, Brinell ",375 - 440,375 - 440,
Tensile Strength ,1380 MPa,200000 psi,
Elongation at Break ,14.4 %,14.4 %,2[in]
"Carbon, C ",0.17 - 0.25 %,0.17 - 0.25 %,
"Copper, Cu ",0.15 - 0.30 %,0.15 - 0.30 %,
"Manganese, Mn ",1.5 %,1.5 %,
"Nickel, Ni ",0.70 - 1.0 %,0.70 - 1.0 %,
"Silicon, Si ",0.50 %,0.50 %,
"Hardness, Rockwell C ",40 - 46,40 - 46,
"Tensile Strength, Yield ",1100 MPa,160000 psi,
Reduction of Area ,55 %,55 %,
"Chromium, Cr ",0.45 - 0.60 %,0.45 - 0.60 %,
"Iron, Fe ",95.21 - 96.33 %,95.21 - 96.33 %,
"Molybdenum, Mo ",0.20 - 0.60 %,0.20 - 0.60 %,
"Phosphorous, P ",<= 0.025 %,<= 0.025 %,
"Sulfur, S ",<= 0.015 %,<= 0.015 %,
