,Metric,English,Comments
Density ,7.87 g/cc,0.284 lb/in³,Typical of steel
"Tensile Strength, Yield ",>= 689 MPa,>= 100000 psi,
Poissons Ratio ,0.28,0.28,Calculated
"Carbon, C ",0.12 - 0.20 %,0.12 - 0.20 %,
"Copper, Cu ",<= 0.25 %,<= 0.25 %,
"Manganese, Mn ",0.10 - 0.40 %,0.10 - 0.40 %,
"Nickel, Ni ",2.25 - 3.5 %,2.25 - 3.5 %,
"Silicon, Si ",0.15 - 0.35 %,0.15 - 0.35 %,
"Titanium, Ti ",<= 0.020 %,<= 0.020 %,
Modulus of Elasticity ,205 GPa,29700 ksi,Typical of steel
Shear Modulus ,80.0 GPa,11600 ksi,Typical of steel
"Chromium, Cr ",1.0 - 1.8 %,1.0 - 1.8 %,
"Iron, Fe ",92.8 - 96.2 %,92.8 - 96.2 %,As Balance
"Molybdenum, Mo ",0.20 - 0.60 %,0.20 - 0.60 %,
"Phosphorous, P ",<= 0.025 %,<= 0.025 %,
"Sulfur, S ",<= 0.025 %,<= 0.025 %,
"Vanadium, V ",<= 0.030 %,<= 0.030 %,
