Iron, Fe;Carbon, C;Sulfur, S;Silicon, Si;Phosphorous, P;Manganese, Mn;Chromium, Cr;Nickel, Ni;Molybdenum, Mo;Copper, Cu;Density;Hardness, Vickers;Thermal Conductivity;Specific Heat Capacity;CTE, linear;Electrical Resistivity;Elongation at Break;Bulk Modulus;Modulus of Elasticity;Shear Modulus;Poissons Ratio;Tensile Strength, Yield;Tensile Strength, Ultimate
97.1575;0.45499999999999996;0.04;0.22499999999999998;0.035;0.875;0.5;0.55;0.2;0.0;7.85;220.0;NA;NA;NA;NA;NA;160.0;NA;80.0;NA;NA;NA
97.1575;0.405;0.04;0.22499999999999998;0.035;0.875;0.5;0.55;0.25;0.0;7.85;319.0;46.6;0.475;NA;2.34e-05;18.2;160.0;205.0;80.0;0.29;924.0;1025.0
97.0125;0.6000000000000001;0.04;0.22499999999999998;0.035;0.875;0.5;0.55;0.2;0.0;7.85;208.0;46.6;0.475;NA;2.34e-05;NA;160.0;205.0;80.0;0.29;NA;NA
96.27;0.19;0.05;0.475;0.04;1.025;0.525;0.4;0.0;0.325;7.8;NA;NA;NA;NA;NA;19.0;NA;NA;NA;NA;290.0;NA
0.3;0.03;0.0;0.55;0.0;1.5;1.6;96.2;0.0;0.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
96.85;0.185;0.04;0.275;0.04;0.8;0.45;1.05;0.35;0.0;7.85;350.0;44.5;0.475;NA;2.45e-05;14.5;160.0;205.0;80.0;0.29;601.0;1096.0
0.0;0.02;0.015;0.6;0.025;2.0;27.0;31.0;3.5;1.0;8.0;NA;11.0;0.46;13.0;9.5e-06;10.0;NA;174.0;NA;0.29;862.5;795.0
97.4575;0.20500000000000002;0.04;0.25;0.035;0.8;0.5;0.55;0.2;0.0;7.85;339.0;46.6;0.475;NA;2.34e-05;16.0;160.0;205.0;80.0;0.29;758.0;931.0
96.4175;0.195;0.04;0.22499999999999998;0.035;0.55;0.5;1.825;0.25;0.0;7.85;269.0;44.5;0.475;11.3;2.45e-05;20.8;160.0;205.0;80.0;0.29;585.0;896.0
95.7225;0.405;0.02;0.22499999999999998;0.025;0.75;0.8;1.825;0.25;0.0;7.85;384.0;44.5;0.475;11.3;2.48e-05;12.2;159.0;200.0;78.0;0.29;860.0;1280.0
94.50999999999999;0.1;0.05;0.22499999999999998;0.0;0.55;1.225;3.25;0.11499999999999999;0.0;7.85;384.0;51.9;0.472;11.5;1.74e-05;16.0;160.0;200.0;80.0;0.29;1055.0;1200.0
97.35;0.16;0.03;0.4;0.03;1.025;0.525;0.4;0.0;0.325;NA;NA;NA;NA;NA;NA;20.0;NA;NA;NA;NA;345.0;NA
0.0;0.015;0.015;0.3;0.012;1.5;18.0;12.0;2.6;0.0;NA;160.0;15.0;NA;NA;NA;35.0;NA;NA;NA;NA;390.0;580.0
0.0;0.02;0.02;0.4;0.02;1.6;18.5;13.0;2.9;0.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
95.7475;0.405;0.02;0.22499999999999998;0.025;0.7749999999999999;0.8;1.775;0.25;0.0;7.85;284.0;44.5;0.475;11.3;2.48e-05;19.7;159.0;200.0;78.0;0.29;786.0;924.0
97.1575;0.405;0.04;0.22499999999999998;0.035;0.875;0.5;0.55;0.25;0.0;7.85;372.0;46.6;0.475;NA;2.34e-05;16.0;160.0;205.0;80.0;0.29;1130.0;1225.0
97.3825;0.30500000000000005;0.04;0.22499999999999998;0.035;0.8;0.5;0.55;0.2;0.0;7.85;399.0;46.6;0.475;11.2;2.34e-05;NA;160.0;205.0;80.0;0.29;NA;NA
97.2425;0.195;0.04;0.22499999999999998;0.035;0.6;0.45;1.05;0.2;0.0;7.85;218.0;44.5;0.475;NA;2.45e-05;NA;160.0;205.0;80.0;0.29;NA;NA
97.105;0.505;0.045;0.22499999999999998;0.035;0.875;0.5;0.55;0.2;0.0;7.85;301.0;46.6;0.475;NA;2.34e-05;18.7;160.0;205.0;80.0;0.29;779.0;986.0
97.07825;0.505;0.045;0.25;0.035;0.875;0.5;0.55;0.2;0.0;7.85;384.0;46.6;0.475;NA;2.34e-05;10.3;160.0;205.0;80.0;0.29;903.0;1255.0
96.6;0.405;0.04;0.25;0.04;0.8;0.65;1.25;0.0;0.0;7.85;NA;NA;NA;NA;NA;25.0;NA;NA;NA;NA;520.0;790.0
