,Metric,English,Comments
Density ,7.85 g/cc,0.284 lb/in³,
"Hardness, Brinell ",184 - 235,184 - 235,
"Hardness, Vickers ",220,220,Converted from Brinell
Shear Modulus ,80.0 GPa,11600 ksi,Typical for steel.
"Carbon, C ",0.43 - 0.48 %,0.43 - 0.48 %,
"Iron, Fe ",96.595 - 97.72 %,96.595 - 97.72 %,As remainder
"Molybdenum, Mo ",0.15 - 0.25 %,0.15 - 0.25 %,
"Phosphorous, P ",<= 0.035 %,<= 0.035 %,
"Sulfur, S ",<= 0.040 %,<= 0.040 %,
"Hardness, Knoop ",239,239,Converted from Brinell
Bulk Modulus ,160 GPa,23200 ksi,Typical for steel.
"Chromium, Cr ",0.40 - 0.60 %,0.40 - 0.60 %,
"Manganese, Mn ",0.75 - 1.0 %,0.75 - 1.0 %,
"Nickel, Ni ",0.40 - 0.70 %,0.40 - 0.70 %,
"Silicon, Si ",0.15 - 0.30 %,0.15 - 0.30 %,
