,Metric,English,Comments
Density ,7.85 g/cc,0.284 lb/in³,Typical Carbon Steel
Modulus of Elasticity ,200 GPa,29000 ksi,Typical Carbon Steel
Shear Modulus ,78.0 GPa,11300 ksi,Typical Carbon Steel
Electrical Resistivity ,0.0000170 ohm-cm,0.0000170 ohm-cm,Typical Carbon Steel
"CTE, linear ",12.0 µm/m-°C,6.67 µin/in-°F,Typical Carbon Steel
Thermal Conductivity ,52.0 W/m-K,361 BTU-in/hr-ft²-°F,Typical Carbon Steel
"Carbon, C ",0.27 - 0.33 %,0.27 - 0.33 %,
"Iron, Fe ",96.92 - 98.3 %,96.92 - 98.3 %,As Balance
"Molybdenum, Mo ",0.080 - 0.15 %,0.080 - 0.15 %,
"Silicon, Si ",0.15 - 0.35 %,0.15 - 0.35 %,
Poissons Ratio ,0.29,0.29,Typical Carbon Steel
Specific Heat Capacity ,0.470 J/g-°C,0.112 BTU/lb-°F,Typical Carbon Steel
"Chromium, Cr ",0.25 - 0.55 %,0.25 - 0.55 %,
"Manganese, Mn ",0.70 - 1.05 %,0.70 - 1.05 %,
"Nickel, Ni ",0.25 - 0.65 %,0.25 - 0.65 %,
