,Metric,English,Comments
Density ,8.00 g/cc,0.289 lb/in³,
"Hardness, Vickers ",220,220,
"Tensile Strength, Yield  ","390 MPa
@Strain 0.200 %,
Temperature 400 °C","56600 psi
@Strain 0.200 %,
Temperature 752 °F",
 ,"400 MPa
@Strain 0.200 %,
Temperature 20.0 °C","58000 psi
@Strain 0.200 %,
Temperature 68.0 °F",
Reduction of Area ,59 %,59 %,
Charpy Impact  ,"60.0 J
@Temperature -196 °C","44.3 ft-lb
@Temperature -321 °F",
 ,"135 J
@Temperature 20.0 °C","99.6 ft-lb
@Temperature 68.0 °F",
"CTE, linear ","18.0 µm/m-°C
@Temperature 20.0 - 400 °C","10.0 µin/in-°F
@Temperature 68.0 - 752 °F",
"Maximum Service Temperature, Air ",400 °C,752 °F,
"Carbon, C ",0.030 %,0.030 %,All Weld Metal
 ,0.040 %,0.040 %,Nominal
 ,0.040 %,0.040 %,AIM
"Cobalt, Co ",<= 0.200 %,<= 0.200 %,Nominal
 ,<= 0.200 %,<= 0.200 %,AIM
"Manganese, Mn ",1.3 %,1.3 %,All Weld Metal
 ,1.5 %,1.5 %,Nominal
 ,1.5 %,1.5 %,AIM
"Nickel, Ni ",11 %,11 %,All Weld Metal
 ,11.5 %,11.5 %,Nominal
 ,11.5 %,11.5 %,AIM
"Nitrogen, N ",0.050 %,0.050 %,All Weld Metal
 ,<= 0.0600 %,<= 0.0600 %,Nominal
 ,<= 0.0600 %,<= 0.0600 %,AIM
"Silicon, Si ",0.40 %,0.40 %,All Weld Metal
 ,0.40 %,0.40 %,Nominal
 ,0.40 %,0.40 %,AIM
"Tensile Strength, Ultimate  ","540 MPa
@Temperature 400 °C","78300 psi
@Temperature 752 °F",
 ,"610 MPa
@Temperature 20.0 °C","88500 psi
@Temperature 68.0 °F",
Elongation at Break  ,"30 %
@Temperature 400 °C","30 %
@Temperature 752 °F",
 ,"36 %
@Temperature 20.0 °C","36 %
@Temperature 68.0 °F",
Creep Strength  ,"45.0 MPa
@Temperature 20.0 °C","6530 psi
@Temperature 68.0 °F",
 ,"155 MPa
@Temperature 700 °C","22500 psi
@Temperature 1290 °F",
Thermal Conductivity  ,"15.0 W/m-K
@Temperature 20.0 °C","104 BTU-in/hr-ft²-°F
@Temperature 68.0 °F",
 ,"15.0 W/m-K
@Temperature 100 °C","104 BTU-in/hr-ft²-°F
@Temperature 212 °F",
 ,"21.0 W/m-K
@Temperature 300 °C","146 BTU-in/hr-ft²-°F
@Temperature 572 °F",
 ,"23.0 W/m-K
@Temperature 500 °C","160 BTU-in/hr-ft²-°F
@Temperature 932 °F",
"Chromium, Cr ",18 %,18 %,All Weld Metal
 ,18.5 %,18.5 %,Nominal
 ,18.5 %,18.5 %,AIM
"Copper, Cu ",<= 0.200 %,<= 0.200 %,Nominal
 ,<= 0.200 %,<= 0.200 %,AIM
"Molybdenum, Mo ",2.6 %,2.6 %,All Weld Metal
 ,2.6 %,2.6 %,Nominal
 ,2.6 %,2.6 %,AIM
"Niobium, Nb (Columbium, Cb) ",0.55 %,0.55 %,All Weld Metal
 ,>= 12.0 %,>= 12.0 %,Nominal
 ,>= 12.0 %,>= 12.0 %,AIM
"Phosphorous, P ",0.012 %,0.012 %,All Weld Metal
 ,<= 0.0250 %,<= 0.0250 %,Nominal
 ,<= 0.0250 %,<= 0.0250 %,AIM
"Sulfur, S ",0.011 %,0.011 %,All Weld Metal
 ,<= 0.0150 %,<= 0.0150 %,Nominal
 ,<= 0.0150 %,<= 0.0150 %,AIM
