,Metric,English,Comments
"Hardness, Vickers ",200,200,
"Tensile Strength, Yield ","400 MPa
@Strain 0.200 %","58000 psi
@Strain 0.200 %",
Reduction of Area ,55 %,55 %,
Thermal Conductivity  ,"14.0 W/m-K
@Temperature 20.0 °C","97.2 BTU-in/hr-ft²-°F
@Temperature 68.0 °F",
 ,"15.0 W/m-K
@Temperature 100 °C","104 BTU-in/hr-ft²-°F
@Temperature 212 °F",
 ,"17.0 W/m-K
@Temperature 300 °C","118 BTU-in/hr-ft²-°F
@Temperature 572 °F",
 ,"19.0 W/m-K
@Temperature 500 °C","132 BTU-in/hr-ft²-°F
@Temperature 932 °F",
"Carbon, C ",0.017 %,0.017 %,Weld metal
 ,<= 0.0250 %,<= 0.0250 %,AIM
"Manganese, Mn ",1.7 %,1.7 %,Weld metal
 ,1.8 %,1.8 %,AIM
"Nickel, Ni ",13.5 %,13.5 %,AIM
 ,13.5 %,13.5 %,Weld metal
"Phosphorous, P ",0.015 %,0.015 %,Weld metal
 ,<= 0.0250 %,<= 0.0250 %,AIM
"Sulfur, S ",0.0080 %,0.0080 %,Weld metal
 ,<= 0.0150 %,<= 0.0150 %,AIM
"Tensile Strength, Ultimate ",600 MPa,87000 psi,
Elongation at Break ,35 %,35 %,
Charpy Impact ,140 J,103 ft-lb,
"Chromium, Cr ",23.5 %,23.5 %,AIM
 ,23.5 %,23.5 %,Weld metal
"Molybdenum, Mo ",0.10 %,0.10 %,Weld metal
 ,<= 0.400 %,<= 0.400 %,AIM
"Nitrogen, N ",0.10 %,0.10 %,AIM
 ,0.10 %,0.10 %,Weld metal
"Silicon, Si ",0.85 %,0.85 %,Weld metal
 ,0.90 %,0.90 %,AIM
