,Metric,English,Comments
Density ,7.90 g/cc,0.285 lb/in³,
"Hardness, Brinell ",<= 90.0,<= 90.0,Annealed
"Tensile Strength, Yield  ",">= 40.0 MPa
@Strain 1.00 %",">= 5800 psi
@Strain 1.00 %",Annealed
 ,">= 210 MPa
@Strain 0.200 %",">= 30500 psi
@Strain 0.200 %",Annealed
 ,">= 600 MPa
@Strain 0.200 %",">= 87000 psi
@Strain 0.200 %",Cold worked
 ,">= 95.0 MPa
@Strain 0.200 %,
Temperature 600 °C",">= 13800 psi
@Strain 0.200 %,
Temperature 1110 °F",
 ,">= 100 MPa
@Strain 0.200 %,
Temperature 550 °C",">= 14500 psi
@Strain 0.200 %,
Temperature 1020 °F",
 ,">= 105 MPa
@Strain 0.200 %,
Temperature 500 °C",">= 15200 psi
@Strain 0.200 %,
Temperature 932 °F",
 ,">= 110 MPa
@Strain 0.200 %,
Temperature 450 °C",">= 16000 psi
@Strain 0.200 %,
Temperature 842 °F",
 ,">= 115 MPa
@Strain 0.200 %,
Temperature 400 °C",">= 16700 psi
@Strain 0.200 %,
Temperature 752 °F",
 ,">= 120 MPa
@Strain 0.200 %,
Temperature 350 °C",">= 17400 psi
@Strain 0.200 %,
Temperature 662 °F",
 ,">= 120 MPa
@Strain 1.00 %,
Temperature 600 °C",">= 17400 psi
@Strain 1.00 %,
Temperature 1110 °F",
 ,">= 125 MPa
@Strain 0.200 %,
Temperature 300 °C",">= 18100 psi
@Strain 0.200 %,
Temperature 572 °F",
 ,">= 125 MPa
@Strain 1.00 %,
Temperature 550 °C",">= 18100 psi
@Strain 1.00 %,
Temperature 1020 °F",
 ,">= 130 MPa
@Strain 1.00 %,
Temperature 500 °C",">= 18900 psi
@Strain 1.00 %,
Temperature 932 °F",
 ,">= 130 MPa
@Strain 0.200 %,
Temperature 250 °C",">= 18900 psi
@Strain 0.200 %,
Temperature 482 °F",
 ,">= 135 MPa
@Strain 1.00 %,
Temperature 450 °C",">= 19600 psi
@Strain 1.00 %,
Temperature 842 °F",
 ,">= 140 MPa
@Strain 0.200 %,
Temperature 200 °C",">= 20300 psi
@Strain 0.200 %,
Temperature 392 °F",
 ,">= 140 MPa
@Strain 1.00 %,
Temperature 400 °C",">= 20300 psi
@Strain 1.00 %,
Temperature 752 °F",
 ,">= 145 MPa
@Strain 1.00 %,
Temperature 350 °C",">= 21000 psi
@Strain 1.00 %,
Temperature 662 °F",
 ,">= 150 MPa
@Strain 1.00 %,
Temperature 300 °C",">= 21800 psi
@Strain 1.00 %,
Temperature 572 °F",
