,Metric,English,Comments
Density,7.87 g/cc,0.284 lb/in³,Typical of steel
Modulus of Elasticity,205 GPa,29700 ksi,Typical of steel
Shear Modulus,80.0 GPa,11600 ksi,Typical of steel
"Carbon, C",0.40 - 0.46 %,0.40 - 0.46 %,
"Iron, Fe",93.4 - 94.8 %,93.4 - 94.8 %,As remainder
"Molybdenum, Mo",0.30 - 0.45 %,0.30 - 0.45 %,
"Phosphorous, P",<= 0.035 %,<= 0.035 %,
"Sulfur, S",<= 0.040 %,<= 0.040 %,
Poissons Ratio,0.28,0.28,Calculated
"Chromium, Cr",0.70 - 0.95 %,0.70 - 0.95 %,
"Manganese, Mn",0.65 - 0.90 %,0.65 - 0.90 %,
"Nickel, Ni",1.65 - 2.0 %,1.65 - 2.0 %,
"Silicon, Si",1.45 - 1.8 %,1.45 - 1.8 %,
"Vanadium, V",>= 0.050 %,>= 0.050 %,
