,Metric,English,Comments
Density,7.85 g/cc,0.284 lb/in³,
"Hardness, Knoop",555,555,Converted from Vickers hardness.
 ,"572 @Temperature -78.0 °C","572 @Temperature -108 °F",Converted from Vickers hardness
 ,"666 @Temperature -195 °C","666 @Temperature -319 °F",Converted from Vickers hardness
 ,"851 @Temperature -255 °C","851 @Temperature -427 °F",Converted from Vickers hardness
"Tensile Strength, Ultimate",1855 MPa,269000 psi,
 ,"2020 MPa @Temperature -78.0 °C","293000 psi @Temperature -108 °F",
 ,"2200 MPa @Temperature -195 °C","319000 psi @Temperature -319 °F",
 ,"2290 MPa @Temperature -255 °C","332000 psi @Temperature -427 °F",
Elongation at Break,12 %,12 %,
 ,"0.60 % @Temperature -255 °C","0.60 % @Temperature -427 °F",
 ,"10 % @Temperature -195 °C","10 % @Temperature -319 °F",
 ,"12 % @Temperature -78.0 °C","12 % @Temperature -108 °F",
Modulus of Elasticity,196 GPa,28400 ksi,
 ,"210 GPa @Temperature -255 °C","30500 ksi @Temperature -427 °F",
 ,"211 GPa @Temperature -78.0 °C","30600 ksi @Temperature -108 °F",
 ,"211 GPa @Temperature -195 °C","30600 ksi @Temperature -319 °F",
Poissons Ratio,0.30,0.30,Calculated
Shear Modulus,75.0 GPa,10900 ksi,Estimated from elastic modulus
Electrical Resistivity,"0.0000248 ohm-cm @Temperature 20.0 °C","0.0000248 ohm-cm @Temperature 68.0 °F",
 ,"0.0000298 ohm-cm @Temperature 100 °C","0.0000298 ohm-cm @Temperature 212 °F",
 ,"0.0000552 ohm-cm @Temperature 400 °C","0.0000552 ohm-cm @Temperature 752 °F",
 ,"0.0000797 ohm-cm @Temperature 600 °C","0.0000797 ohm-cm @Temperature 1110 °F",
"CTE, linear","12.3 µm/m-°C @Temperature 20.0 °C","6.83 µin/in-°F @Temperature 68.0 °F","specimen oil hardened, 600°C (1110°F) temper"
 ,"12.6 µm/m-°C @Temperature 21.0 - 260 °C","7.00 µin/in-°F @Temperature 69.8 - 500 °F","1.88% Ni, normalized and tempered"
 ,"12.7 µm/m-°C @Temperature 20.0 °C","7.06 µin/in-°F @Temperature 68.0 °F","specimen oil hardened, 600°C (1110°F) temper"
 ,"13.7 µm/m-°C @Temperature 250 °C","7.61 µin/in-°F @Temperature 482 °F","specimen oil hardened, 600°C (1110°F) temper"
 ,"13.7 µm/m-°C @Temperature 21.0 - 540 °C","7.61 µin/in-°F @Temperature 69.8 - 1000 °F","1.88% Ni, normalized and tempered"
 ,"13.9 µm/m-°C @Temperature 21.0 - 540 °C","7.72 µin/in-°F @Temperature 69.8 - 1000 °F","1.90% Ni, quenched, tempered"
 ,"14.5 µm/m-°C @Temperature 500 °C","8.06 µin/in-°F @Temperature 932 °F","specimen oil hardened, 600°C (1110°F) temper"
Thermal Conductivity,44.5 W/m-K,309 BTU-in/hr-ft²-°F,Typical steel
"Carbon, C",0.37 - 0.43 %,0.37 - 0.43 %,
"Iron, Fe",95.195 - 96.33 %,95.195 - 96.33 %,As remainder
"Molybdenum, Mo",0.20 - 0.30 %,0.20 - 0.30 %,
"Phosphorous, P",<= 0.035 %,<= 0.035 %,
"Sulfur, S",<= 0.040 %,<= 0.040 %,
"Hardness, Vickers",531,531,
 ,"548 @Temperature -78.0 °C","548 @Temperature -108 °F",
 ,"639 @Temperature -195 °C","639 @Temperature -319 °F",
 ,"818 @Temperature -255 °C","818 @Temperature -427 °F",
"Tensile Strength, Yield",1550 MPa,225000 psi,
 ,"1915 MPa @Temperature -195 °C","277700 psi @Temperature -319 °F",
 ,"1935 MPa @Temperature -78.0 °C","280600 psi @Temperature -108 °F",
Reduction of Area,40 %,40 %,
 ,"0.60 % @Temperature -255 °C","0.60 % @Temperature -427 °F",
 ,"24 % @Temperature -195 °C","24 % @Temperature -319 °F",
 ,"40 % @Temperature -78.0 °C","40 % @Temperature -108 °F",
Bulk Modulus,160 GPa,23200 ksi,Typical for steel.
Machinability,50 %,50 %,annealed and cold drawn. Based on 100% machinability for AISI 1212 steel.
Specific Heat Capacity,0.475 J/g-°C,0.114 BTU/lb-°F,Typical 4000 series steel
"Chromium, Cr",0.70 - 0.90 %,0.70 - 0.90 %,
"Manganese, Mn",0.60 - 0.80 %,0.60 - 0.80 %,
"Nickel, Ni",1.65 - 2.0 %,1.65 - 2.0 %,
"Silicon, Si",0.15 - 0.30 %,0.15 - 0.30 %,
