,Metric,English,Comments
Density,7.85 g/cc,0.284 lb/in³,
"Hardness, Brinell",321,321,
"Hardness, Rockwell B",99,99,Converted from Brinell
"Hardness, Vickers",339,339,Converted from Brinell
"Tensile Strength, Yield",714 MPa,104000 psi,
Reduction of Area,56.5 %,56.5 %,
Bulk Modulus,160 GPa,23200 ksi,Typical for steel.
Shear Modulus,80.0 GPa,11600 ksi,Typical for steel
Electrical Resistivity,0.0000245 ohm-cm,0.0000245 ohm-cm,Typical 4000 series steel
Specific Heat Capacity,0.475 J/g-°C,0.114 BTU/lb-°F,Typical 4000 series steel
"Carbon, C",0.15 - 0.21 %,0.15 - 0.21 %,
"Iron, Fe",96.21 - 97.65 %,96.21 - 97.65 %,As remainder
"Molybdenum, Mo",0.30 - 0.40 %,0.30 - 0.40 %,
"Phosphorous, P",<= 0.040 %,<= 0.040 %,
"Sulfur, S",<= 0.040 %,<= 0.040 %,
"Hardness, Knoop",348,348,Converted from Brinell
"Hardness, Rockwell C",35,35,Converted from Brinell
"Tensile Strength, Ultimate",1068 MPa,154900 psi,
Elongation at Break,17.8 %,17.8 %,
Modulus of Elasticity,205 GPa,29700 ksi,Typical for steel
Poissons Ratio,0.29,0.29,Calculated
Thermal Conductivity,44.5 W/m-K,309 BTU-in/hr-ft²-°F,Typical steel
"Chromium, Cr",0.30 - 0.60 %,0.30 - 0.60 %,
"Manganese, Mn",0.60 - 0.95 %,0.60 - 0.95 %,
"Nickel, Ni",0.85 - 1.25 %,0.85 - 1.25 %,
"Silicon, Si",0.15 - 0.30 %,0.15 - 0.30 %,
