,Metric,English,Comments
Density ,7.85 g/cc,0.284 lb/in³,
"Hardness, Brinell ",187 - 229,187 - 229,
"Hardness, Rockwell B ",94,94,Converted from Brinell
"Hardness, Vickers ",218,218,Converted from Brinell
Bulk Modulus ,160 GPa,23200 ksi,Typical for steel.
Machinability ,65 %,65 %,hot rolled and cold drawn. Based on 100% machinability for AISI 1212 steel.
Electrical Resistivity ,0.0000245 ohm-cm,0.0000245 ohm-cm,Typical 4000 series steel
Specific Heat Capacity ,0.475 J/g-°C,0.114 BTU/lb-°F,Typical 4000 series steel
"Carbon, C ",0.17 - 0.22 %,0.17 - 0.22 %,
"Iron, Fe ",96.705 - 97.78 %,96.705 - 97.78 %,As remainder
"Molybdenum, Mo ",0.15 - 0.25 %,0.15 - 0.25 %,
"Phosphorous, P ",<= 0.035 %,<= 0.035 %,
"Sulfur, S ",<= 0.040 %,<= 0.040 %,
"Hardness, Knoop ",230,230,Converted from Brinell
"Hardness, Rockwell C ",15,15,"Converted from Brinell hardness. Value below normal HRC range, for comparison purposes only."
Modulus of Elasticity ,205 GPa,29700 ksi,Typical for steel
Poissons Ratio ,0.29,0.29,Calculated
Shear Modulus ,80.0 GPa,11600 ksi,Typical for steel
Thermal Conductivity ,44.5 W/m-K,309 BTU-in/hr-ft²-°F,Typical steel
"Chromium, Cr ",0.35 - 0.55 %,0.35 - 0.55 %,
"Manganese, Mn ",0.50 - 0.70 %,0.50 - 0.70 %,
"Nickel, Ni ",0.90 - 1.2 %,0.90 - 1.2 %,
"Silicon, Si ",0.15 - 0.30 %,0.15 - 0.30 %,
