,Metric,English,Comments
Density ,7.85 g/cc,0.284 lb/in³,
"Hardness, Brinell ",179 - 235,179 - 235,hot rolled and cold drawn
"Hardness, Rockwell B ",93,93,Converted from Brinell
"Hardness, Vickers ",217,217,Converted from Brinell
"Tensile Strength, Yield ",500 MPa,72500 psi,
Modulus of Elasticity ,205 GPa,29700 ksi,Typical for steel
Poissons Ratio ,0.29,0.29,Calculated
Shear Modulus ,80.0 GPa,11600 ksi,Typical for steel.
Electrical Resistivity ,"0.0000300 ohm-cm @Temperature 50.0 °C","0.0000300 ohm-cm @Temperature 122 °F",condition of specimen unknown
Specific Heat Capacity ,0.475 J/g-°C,0.114 BTU/lb-°F,Typical steel
"Carbon, C ",0.13 - 0.18 %,0.13 - 0.18 %,
"Iron, Fe ",96.995 - 98.07 %,96.995 - 98.07 %,As remainder
"Molybdenum, Mo ",0.15 - 0.25 %,0.15 - 0.25 %,
"Phosphorous, P ",<= 0.035 %,<= 0.035 %,
"Sulfur, S ",<= 0.040 %,<= 0.040 %,
"Hardness, Knoop ",229,229,Converted from Brinell
"Hardness, Rockwell C ",15,15,"Converted from Brinell hardness. Value below normal HRC range, for comparison purposes only."
"Tensile Strength, Ultimate ",690 MPa,100000 psi,
Elongation at Break ,20 %,20 %,in 50 mm
Bulk Modulus ,160 GPa,23200 ksi,Typical for steels
Machinability ,70 %,70 %,hot rolled and cold drawn. Based on 100% machinability for AISI 1212 steel.
Thermal Conductivity ,46.6 W/m-K,323 BTU-in/hr-ft²-°F,Typical steel
"Chromium, Cr ",0.40 - 0.60 %,0.40 - 0.60 %,
"Manganese, Mn ",0.70 - 0.90 %,0.70 - 0.90 %,
"Nickel, Ni ",0.40 - 0.70 %,0.40 - 0.70 %,
"Silicon, Si ",0.15 - 0.30 %,0.15 - 0.30 %,
