,Metric,English,Comments
Density,7.85 g/cc,0.284 lb/in³,
"Hardness, Brinell",243,243,
"Hardness, Rockwell B",97,97,Converted from Brinell
"Hardness, Vickers",256,256,Converted from Brinell
"Tensile Strength, Yield",550 MPa,79800 psi,
Modulus of Elasticity,205 GPa,29700 ksi,Typical for steel
Poissons Ratio,0.29,0.29,Calculated
Shear Modulus,80.0 GPa,11600 ksi,Typical for steel.
Electrical Resistivity,0.0000234 ohm-cm,0.0000234 ohm-cm,Typical steel
Specific Heat Capacity,0.475 J/g-°C,0.114 BTU/lb-°F,Typical steel
"Carbon, C",0.14 - 0.20 %,0.14 - 0.20 %,
"Iron, Fe",96.825 - 98.21 %,96.825 - 98.21 %,As remainder
"Molybdenum, Mo",0.15 - 0.25 %,0.15 - 0.25 %,
"Phosphorous, P",<= 0.035 %,<= 0.035 %,
"Sulfur, S",<= 0.040 %,<= 0.040 %,
"Hardness, Knoop",267,267,Converted from Brinell
"Hardness, Rockwell C",22,22,Converted from Brinell
"Tensile Strength, Ultimate",820 MPa,119000 psi,
Elongation at Break,23 %,23 %,in 50 mm
Bulk Modulus,160 GPa,23200 ksi,Typical for steels
Machinability,70 %,70 %,hot rolled and cold drawn. Based on 100% machinability for AISI 1212 steel.
Thermal Conductivity,46.6 W/m-K,323 BTU-in/hr-ft²-°F,Typical steel
"Chromium, Cr",0.35 - 0.65 %,0.35 - 0.65 %,
"Manganese, Mn",0.65 - 0.95 %,0.65 - 0.95 %,
"Nickel, Ni",0.35 - 0.75 %,0.35 - 0.75 %,
"Silicon, Si",0.15 - 0.30 %,0.15 - 0.30 %,
