,Metric,English,Comments
Density ,7.85 g/cc,0.284 lb/in³,
"Hardness, Knoop ",362,362,Converted from Rockwell C hardness.
"Hardness, Vickers ",349,349,Converted from Rockwell C hardness.
Bulk Modulus ,160 GPa,23200 ksi,Typical for steel.
Machinability ,65 %,65 %,hot rolled and cold drawn. Based on 100% machinability for AISI 1212 steel.
Izod Impact  ,"11.0 J @Temperature -185 °C","8.11 ft-lb @Temperature -301 °F",
 ,"11.0 J @Temperature -185 °C","8.11 ft-lb @Temperature -301 °F",
 ,">= 18.0 J @Temperature -130 °C",">= 13.3 ft-lb @Temperature -202 °F",
 ,"18.0 J @Temperature -130 °C","13.3 ft-lb @Temperature -202 °F",
 ,">= 27.0 J @Temperature -73.0 °C",">= 19.9 ft-lb @Temperature -99.4 °F",
 ,">= 47.0 J @Temperature -18.0 °C",">= 34.7 ft-lb @Temperature -0.400 °F",
 ,"47.0 J @Temperature -18.0 °C","34.7 ft-lb @Temperature -0.400 °F",
 ,"61.0 J @Temperature 38.0 °C","45.0 ft-lb @Temperature 100 °F",
 ,">= 61.0 J @Temperature 38.0 °C",">= 45.0 ft-lb @Temperature 100 °F",
 ,"145 J @Temperature -73.0 °C","107 ft-lb @Temperature -99.4 °F",
Electrical Resistivity ,0.0000234 ohm-cm,0.0000234 ohm-cm,Typical steel
Specific Heat Capacity ,0.475 J/g-°C,0.114 BTU/lb-°F,Typical steel
"Carbon, C ",0.18 - 0.23 %,0.18 - 0.23 %,
"Iron, Fe ",96.745 - 98.22 %,96.745 - 98.22 %,As remainder
"Molybdenum, Mo ",0.15 - 0.25 %,0.15 - 0.25 %,
"Phosphorous, P ",<= 0.035 %,<= 0.035 %,
"Sulfur, S ",<= 0.040 %,<= 0.040 %,
"Hardness, Rockwell C ",36,36,
Modulus of Elasticity ,205 GPa,29700 ksi,Typical for steel
Poissons Ratio ,0.29,0.29,Calculated
Shear Modulus ,80.0 GPa,11600 ksi,Typical for steel.
Thermal Conductivity ,46.6 W/m-K,323 BTU-in/hr-ft²-°F,Typical steel
"Chromium, Cr ",0.35 - 0.65 %,0.35 - 0.65 %,
"Manganese, Mn ",0.60 - 0.95 %,0.60 - 0.95 %,
"Nickel, Ni ",0.35 - 0.75 %,0.35 - 0.75 %,
"Silicon, Si ",0.15 - 0.35 %,0.15 - 0.35 %,
