,Metric,English,Comments
Density,7.85 g/cc,0.284 lb/in³,
"Hardness, Brinell",321,321,
"Hardness, Rockwell B",99,99,Converted from Brinell
"Hardness, Vickers",339,339,Converted from Brinell
"Tensile Strength, Yield",876 MPa,127000 psi,
Reduction of Area,50 %,50 %,
Bulk Modulus,160 GPa,23200 ksi,Typical for steels
Machinability,65 %,65 %,hot rolled and cold drawn. Based on 100% machinability for AISI 1212 steel.
Electrical Resistivity,0.0000234 ohm-cm,0.0000234 ohm-cm,Typical steel
Specific Heat Capacity,0.475 J/g-°C,0.114 BTU/lb-°F,Typical steel
"Carbon, C",0.18 - 0.23 %,0.18 - 0.23 %,
"Iron, Fe",96.895 - 98.02 %,96.895 - 98.02 %,As remainder
"Molybdenum, Mo",0.15 - 0.25 %,0.15 - 0.25 %,
"Phosphorous, P",<= 0.035 %,<= 0.035 %,
"Sulfur, S",<= 0.040 %,<= 0.040 %,
"Hardness, Knoop",348,348,Converted from Brinell
"Hardness, Rockwell C",35,35,Converted from Brinell
"Tensile Strength, Ultimate",1075 MPa,155900 psi,
Elongation at Break,14 %,14 %,in 50 mm.
Modulus of Elasticity,205 GPa,29700 ksi,Typical for steel
Poissons Ratio,0.29,0.29,Calculated
Shear Modulus,80.0 GPa,11600 ksi,Typical for steel
Thermal Conductivity,46.6 W/m-K,323 BTU-in/hr-ft²-°F,Typical steel
"Chromium, Cr",0.40 - 0.60 %,0.40 - 0.60 %,
"Manganese, Mn",0.70 - 0.90 %,0.70 - 0.90 %,
"Nickel, Ni",0.40 - 0.70 %,0.40 - 0.70 %,
"Silicon, Si",0.15 - 0.35 %,0.15 - 0.35 %,
