,Metric,English,Comments
Density,7.85 g/cc,0.284 lb/in³,
"Hardness, Brinell",179 - 229,179 - 229,annealed and cold drawn.
"Hardness, Rockwell B",93,93,Converted from Brinell
"Hardness, Vickers",214,214,Converted from Brinell
Bulk Modulus,160 GPa,23200 ksi,Typical for steel.
Machinability,65 %,65 %,annealed and cold drawn. Based on AISI 1212 steel as 100% machinability.
Electrical Resistivity,0.0000234 ohm-cm,0.0000234 ohm-cm,Typical steel
Specific Heat Capacity,0.475 J/g-°C,0.114 BTU/lb-°F,Typical steel
"Carbon, C",0.34 - 0.41 %,0.34 - 0.41 %,
"Iron, Fe",96.515 - 97.96 %,96.515 - 97.96 %,As remainder
"Molybdenum, Mo",0.15 - 0.25 %,0.15 - 0.25 %,
"Phosphorous, P",<= 0.035 %,<= 0.035 %,
"Sulfur, S",<= 0.040 %,<= 0.040 %,
"Hardness, Knoop",226,226,Converted from Brinell
"Hardness, Rockwell C",14,14,"Converted from Brinell hardness. Value below normal HRC range, for comparison only."
Modulus of Elasticity,205 GPa,29700 ksi,Typical for steel
Poissons Ratio,0.29,0.29,Calculated
Shear Modulus,80.0 GPa,11600 ksi,Typical for steel
Thermal Conductivity,46.6 W/m-K,323 BTU-in/hr-ft²-°F,Typical steel
"Chromium, Cr",0.35 - 0.65 %,0.35 - 0.65 %,
"Manganese, Mn",0.70 - 1.05 %,0.70 - 1.05 %,
"Nickel, Ni",0.35 - 0.75 %,0.35 - 0.75 %,
"Silicon, Si",0.15 - 0.30 %,0.15 - 0.30 %,
