,Metric,English,Comments
Density,7.85 g/cc,0.284 lb/in³,
"Hardness, Brinell","285 @Diameter 102 mm","285 @Diameter 4.00 in",
 ,"306 @Diameter 76.2 mm","306 @Diameter 3.00 in",
 ,"331 @Diameter 50.8 mm","331 @Diameter 2.00 in",
 ,"363 @Diameter 25.4 mm","363 @Diameter 1.00 in",
"Hardness, Rockwell B","99 @Diameter 50.8 mm","99 @Diameter 2.00 in",Converted from Brinell
 ,"99 @Diameter 76.2 mm","99 @Diameter 3.00 in",Converted from Brinell
 ,"99 @Diameter 102 mm","99 @Diameter 4.00 in",Converted from Brinell
 ,"100 @Diameter 25.4 mm","100 @Diameter 1.00 in",Converted from Brinell
"Hardness, Vickers","301 @Diameter 102 mm","301 @Diameter 4.00 in",Converted from Brinell
 ,"323 @Diameter 76.2 mm","323 @Diameter 3.00 in",Converted from Brinell
 ,"350 @Diameter 50.8 mm","350 @Diameter 2.00 in",Converted from Brinell
 ,"384 @Diameter 25.4 mm","384 @Diameter 1.00 in",Converted from Brinell
"Tensile Strength, Yield","814 MPa @Diameter 102 mm","118000 psi @Diameter 4.00 in",
 ,"889 MPa @Diameter 76.2 mm","129000 psi @Diameter 3.00 in",
 ,"986 MPa @Diameter 50.8 mm","143000 psi @Diameter 2.00 in",
 ,"1110 MPa @Diameter 25.4 mm","161000 psi @Diameter 1.00 in",
Modulus of Elasticity,205 GPa,29700 ksi,Typical for steel
Poissons Ratio,0.29,0.29,Calculated
Shear Modulus,80.0 GPa,11600 ksi,Typical for steel
Electrical Resistivity,0.0000234 ohm-cm,0.0000234 ohm-cm,Typical steel
Specific Heat Capacity,0.475 J/g-°C,0.114 BTU/lb-°F,Typical steel
"Carbon, C",0.40 - 0.45 %,0.40 - 0.45 %,
"Iron, Fe",96.625 - 97.75 %,96.625 - 97.75 %,As remainder
"Molybdenum, Mo",0.15 - 0.25 %,0.15 - 0.25 %,
"Phosphorous, P",<= 0.035 %,<= 0.035 %,
"Sulfur, S",<= 0.040 %,<= 0.040 %,
"Hardness, Knoop","311 @Diameter 102 mm","311 @Diameter 4.00 in",Converted from Brinell
 ,"333 @Diameter 76.2 mm","333 @Diameter 3.00 in",Converted from Brinell
 ,"359 @Diameter 50.8 mm","359 @Diameter 2.00 in",Converted from Brinell
 ,"392 @Diameter 25.4 mm","392 @Diameter 1.00 in",Converted from Brinell
"Hardness, Rockwell C","30 @Diameter 102 mm","30 @Diameter 4.00 in",Converted from Brinell
 ,"33 @Diameter 76.2 mm","33 @Diameter 3.00 in",Converted from Brinell
 ,"36 @Diameter 50.8 mm","36 @Diameter 2.00 in",Converted from Brinell
 ,"40 @Diameter 25.4 mm","40 @Diameter 1.00 in",Converted from Brinell
"Tensile Strength, Ultimate","972 MPa @Diameter 102 mm","141000 psi @Diameter 4.00 in",
 ,"1040 MPa @Diameter 76.2 mm","151000 psi @Diameter 3.00 in",
 ,"1125 MPa @Diameter 50.8 mm","163200 psi @Diameter 2.00 in",
 ,"1240 MPa @Diameter 25.4 mm","180000 psi @Diameter 1.00 in",
Elongation at Break,"15 % @Diameter 25.4 mm","15 % @Diameter 1.00 in",in 50 mm
 ,"16.8 % @Diameter 50.8 mm","16.8 % @Diameter 2.00 in",in 50 mm
 ,"18.2 % @Diameter 76.2 mm","18.2 % @Diameter 3.00 in",in 50 mm
 ,"19.2 % @Diameter 102 mm","19.2 % @Diameter 4.00 in",in 50 mm
Bulk Modulus,160 GPa,23200 ksi,Typical for steel.
Machinability,65 %,65 %,annealed and cold drawn. Based on AISI 1212 steel as 100% machinability.
Thermal Conductivity,46.6 W/m-K,323 BTU-in/hr-ft²-°F,Typical steel
"Chromium, Cr",0.40 - 0.60 %,0.40 - 0.60 %,
"Manganese, Mn",0.75 - 1.0 %,0.75 - 1.0 %,
"Nickel, Ni",0.40 - 0.70 %,0.40 - 0.70 %,
"Silicon, Si",0.15 - 0.30 %,0.15 - 0.30 %,
