,Metric,English,Comments
Density,7.85 g/cc,0.284 lb/in³,
"Hardness, Brinell",184 - 235,184 - 235,
"Hardness, Vickers",220,220,Converted from Brinell
Bulk Modulus,160 GPa,23200 ksi,Typical for steel.
"Boron, B ",0.00050 - 0.0030 %,0.00050 - 0.0030 %,
"Chromium, Cr",0.35 - 0.65 %,0.35 - 0.65 %,
"Manganese, Mn",0.70 - 1.05 %,0.70 - 1.05 %,
"Nickel, Ni",0.35 - 0.75 %,0.35 - 0.75 %,
"Silicon, Si",0.15 - 0.30 %,0.15 - 0.30 %,
"Hardness, Knoop",239,239,Converted from Brinell
Reduction of Area,49 %,49 %,
Shear Modulus,80.0 GPa,11600 ksi,Typical for steel.
"Carbon, C",0.42 - 0.49 %,0.42 - 0.49 %,
"Iron, Fe",96.432 - 97.8795 %,96.432 - 97.8795 %,As remainder
"Molybdenum, Mo",0.15 - 0.25 %,0.15 - 0.25 %,
"Phosphorous, P",<= 0.035 %,<= 0.035 %,
"Sulfur, S",<= 0.040 %,<= 0.040 %,
