,Metric,English,Comments
Density,7.85 g/cc,0.284 lb/in³,
"Hardness, Brinell",338,338,
"Hardness, Vickers",360,360,Converted from Brinell
"Tensile Strength, Yield",1080 MPa,157000 psi,
Bulk Modulus,160 GPa,23200 ksi,Typical for steel.
"Boron, B ",0.00050 - 0.0030 %,0.00050 - 0.0030 %,
"Chromium, Cr",0.40 - 0.60 %,0.40 - 0.60 %,
"Manganese, Mn",0.75 - 1.0 %,0.75 - 1.0 %,
"Nickel, Ni",0.40 - 0.70 %,0.40 - 0.70 %,
"Silicon, Si",0.15 - 0.30 %,0.15 - 0.30 %,
"Hardness, Knoop",383,383,Converted from Brinell
"Tensile Strength, Ultimate",1157 MPa,167800 psi,
Elongation at Break,15 %,15 %,
Shear Modulus,80.0 GPa,11600 ksi,Typical for steel.
"Carbon, C",0.43 - 0.48 %,0.43 - 0.48 %,
"Iron, Fe",96.592 - 97.7195 %,96.592 - 97.7195 %,As remainder
"Molybdenum, Mo",0.15 - 0.25 %,0.15 - 0.25 %,
"Phosphorous, P",<= 0.035 %,<= 0.035 %,
"Sulfur, S",<= 0.040 %,<= 0.040 %,
