,Metric,English,Comments
Density,7.85 g/cc,0.284 lb/in³,Typical Carbon Steel
"Hardness, Brinell",170 - 223,170 - 223,
Poissons Ratio,0.29,0.29,Typical Carbon Steel
Shear Modulus,78.0 GPa,11300 ksi,Typical Carbon Steel
Electrical Resistivity,0.0000170 ohm-cm,0.0000170 ohm-cm,Typical Carbon Steel
"CTE, linear",12.0 µm/m-°C,6.67 µin/in-°F,Typical Carbon Steel
Thermal Conductivity,52.0 W/m-K,361 BTU-in/hr-ft²-°F,Typical Carbon Steel
"Carbon, C",0.28 - 0.33 %,0.28 - 0.33 %,
"Iron, Fe",96.995 - 98.14 %,96.995 - 98.14 %,As Balance
"Molybdenum, Mo",0.080 - 0.15 %,0.080 - 0.15 %,
"Phosphorous, P",<= 0.035 %,<= 0.035 %,
"Sulfur, S",<= 0.040 %,<= 0.040 %,
Modulus of Elasticity,200 GPa,29000 ksi,Typical Carbon Steel
Machinability,70 %,70 %,Cold Drawn AISI 1212 = 100%
Specific Heat Capacity,0.470 J/g-°C,0.112 BTU/lb-°F,Typical Carbon Steel
"Chromium, Cr",0.30 - 0.50 %,0.30 - 0.50 %,
"Manganese, Mn",0.75 - 1.0 %,0.75 - 1.0 %,
"Nickel, Ni",0.30 - 0.60 %,0.30 - 0.60 %,
"Silicon, Si",0.15 - 0.35 %,0.15 - 0.35 %,
