,Metric,English,Comments
Density ,7.87 g/cc,0.284 lb/in³,field average for steels
"Hardness, Brinell ",321,321,
"Hardness, Rockwell B ",99,99,Converted from Brinell
"Hardness, Vickers ",339,339,Converted from Brinell
"Tensile Strength, Yield ",965 MPa,140000 psi,
Modulus of Elasticity ,200 GPa,29000 ksi,Estimated
Poissons Ratio ,0.29,0.29,Calculated
Shear Modulus ,80.0 GPa,11600 ksi,Typical for steel
Electrical Resistivity ,0.0000174 ohm-cm,0.0000174 ohm-cm,Estimated
"CTE, linear  ","11.5 µm/m-°C @Temperature 20.0 °C","6.39 µin/in-°F @Temperature 68.0 °F",
 ,"12.2 µm/m-°C @Temperature 250 °C","6.78 µin/in-°F @Temperature 482 °F",Estimated
 ,"13.9 µm/m-°C @Temperature 500 °C","7.72 µin/in-°F @Temperature 932 °F",
 ,"14.7 µm/m-°C @Temperature 1000 °C","8.17 µin/in-°F @Temperature 1830 °F",
Thermal Conductivity ,51.9 W/m-K,360 BTU-in/hr-ft²-°F,Typical steel
"Carbon, C ",0.38 - 0.43 %,0.38 - 0.43 %,
"Iron, Fe ",95.945 - 97.02 %,95.945 - 97.02 %,As remainder
"Molybdenum, Mo ",0.20 - 0.30 %,0.20 - 0.30 %,
"Phosphorous, P ",<= 0.035 %,<= 0.035 %,
"Sulfur, S ",<= 0.040 %,<= 0.040 %,
"Hardness, Knoop ",348,348,Converted from Brinell
"Hardness, Rockwell C ",35,35,"core hardness. Quenched, 540°C temper, 525°C nitride for 40 hours with 20-30% ammonia dissociation"
"Tensile Strength, Ultimate ",1105 MPa,160300 psi,
Elongation at Break ,16 %,16 %,in 50 mm
Bulk Modulus ,160 GPa,23200 ksi,Typical for steel.
Machinability ,70 %,70 %,Estimated
Specific Heat Capacity ,0.472 J/g-°C,0.113 BTU/lb-°F,Estimated
"Chromium, Cr ",0.70 - 0.90 %,0.70 - 0.90 %,
"Manganese, Mn ",0.70 - 0.90 %,0.70 - 0.90 %,
"Nickel, Ni ",0.85 - 1.15 %,0.85 - 1.15 %,
"Silicon, Si ",0.15 - 0.30 %,0.15 - 0.30 %,
