,Metric,English,Comments
Density ,7.85 g/cc,0.284 lb/in³,
"Hardness, Knoop ",555,555,Converted from Vickers hardness.
 ,"572 @Temperature -78.0 °C","572 @Temperature -108 °F",Converted from Vickers hardness
 ,"666 @Temperature -195 °C","666 @Temperature -319 °F",Converted from Vickers hardness
 ,"851 @Temperature -255 °C","851 @Temperature -427 °F",Converted from Vickers hardness
"Tensile Strength, Ultimate ",1855 MPa,269000 psi,
 ,"2020 MPa @Temperature -78.0 °C","293000 psi @Temperature -108 °F",
 ,"2200 MPa @Temperature -195 °C","319000 psi @Temperature -319 °F",
 ,"2290 MPa @Temperature -255 °C","332000 psi @Temperature -427 °F",
Elongation at Break ,12 %,12 %,in 50 mm
 ,"0.60 % @Temperature -255 °C","0.60 % @Temperature -427 °F",in 50 mm
 ,"10 % @Temperature -195 °C","10 % @Temperature -319 °F",in 50 mm
 ,"12 % @Temperature -78.0 °C","12 % @Temperature -108 °F",in 50 mm
Modulus of Elasticity ,196 GPa,28400 ksi,
 ,"210 GPa @Temperature -255 °C","30500 ksi @Temperature -427 °F",
 ,"211 GPa @Temperature -195 °C","30600 ksi @Temperature -319 °F",
 ,"211 GPa @Temperature -78.0 °C","30600 ksi @Temperature -108 °F",
Poissons Ratio ,0.30,0.30,Calculated
Shear Modulus ,75.0 GPa,10900 ksi,Estimated from elastic modulus
 ,"81.0 GPa @Temperature -255 °C","11700 ksi @Temperature -427 °F",Estimated from elastic modulus
 ,"81.0 GPa @Temperature -195 °C","11700 ksi @Temperature -319 °F",Estimated from elastic modulus
 ,"81.0 GPa @Temperature -78.0 °C","11700 ksi @Temperature -108 °F",Estimated from elastic modulus
Electrical Resistivity  ,"0.0000248 ohm-cm @Temperature 20.0 °C","0.0000248 ohm-cm @Temperature 68.0 °F",
 ,"0.0000298 ohm-cm @Temperature 100 °C","0.0000298 ohm-cm @Temperature 212 °F",
 ,"0.0000552 ohm-cm @Temperature 400 °C","0.0000552 ohm-cm @Temperature 752 °F",
 ,"0.0000797 ohm-cm @Temperature 600 °C","0.0000797 ohm-cm @Temperature 1110 °F",
"CTE, linear  ","11.3 µm/m-°C @Temperature 20.0 °C","6.28 µin/in-°F @Temperature 68.0 °F",
 ,"12.4 µm/m-°C @Temperature 250 °C","6.89 µin/in-°F @Temperature 482 °F",
 ,"13.7 µm/m-°C @Temperature 500 °C","7.61 µin/in-°F @Temperature 932 °F",
Thermal Conductivity ,44.5 W/m-K,309 BTU-in/hr-ft²-°F,Typical steel
"Carbon, C ",0.38 - 0.43 %,0.38 - 0.43 %,
"Iron, Fe ",95.175 - 96.27 %,95.175 - 96.27 %,As remainder
"Molybdenum, Mo ",0.20 - 0.30 %,0.20 - 0.30 %,
"Phosphorous, P ",<= 0.025 %,<= 0.025 %,
"Sulfur, S ",<= 0.020 %,<= 0.020 %,
"Hardness, Vickers ",531,531,
 ,"548 @Temperature -78.0 °C","548 @Temperature -108 °F",
 ,"639 @Temperature -195 °C","639 @Temperature -319 °F",
 ,"818 @Temperature -255 °C","818 @Temperature -427 °F",
"Tensile Strength, Yield ",1550 MPa,225000 psi,
 ,"1915 MPa @Temperature -195 °C","277700 psi @Temperature -319 °F",
 ,"1935 MPa @Temperature -78.0 °C","280600 psi @Temperature -108 °F",
Reduction of Area ,40 %,40 %,
 ,"0.20 % @Temperature -255 °C","0.20 % @Temperature -427 °F",
 ,"24 % @Temperature -195 °C","24 % @Temperature -319 °F",
 ,"40 % @Temperature -78.0 °C","40 % @Temperature -108 °F",
Bulk Modulus ,160 GPa,23200 ksi,Typical for steel.
Machinability ,50 %,50 %,annealed and cold drawn. Based on 100% machinability for AISI 1212 steel.
Specific Heat Capacity ,0.475 J/g-°C,0.114 BTU/lb-°F,Typical 4000 series steel
"Chromium, Cr ",0.70 - 0.90 %,0.70 - 0.90 %,
"Manganese, Mn ",0.65 - 0.85 %,0.65 - 0.85 %,
"Nickel, Ni ",1.65 - 2.0 %,1.65 - 2.0 %,
"Silicon, Si ",0.15 - 0.30 %,0.15 - 0.30 %,
