,Metric,English,Comments
Density ,7.85 g/cc,0.284 lb/in³,
"Hardness, Brinell ",321,321,
"Hardness, Rockwell B ",99,99,Converted from Brinell
"Hardness, Vickers ",339,339,Converted from Brinell hardness value.
"Tensile Strength, Yield ",848 MPa,123000 psi,
Modulus of Elasticity ,200 GPa,29000 ksi,Typical for steel
Poissons Ratio ,0.29,0.29,Calculated
Shear Modulus ,80.0 GPa,11600 ksi,Typical for steels.
Electrical Resistivity ,0.0000174 ohm-cm,0.0000174 ohm-cm,Estimated
"CTE, linear  ","11.5 µm/m-°C @Temperature 20.0 °C","6.39 µin/in-°F @Temperature 68.0 °F",Estimated
 ,"12.2 µm/m-°C @Temperature 250 °C","6.78 µin/in-°F @Temperature 482 °F",Estimated
 ,"13.9 µm/m-°C @Temperature 500 °C","7.72 µin/in-°F @Temperature 932 °F",Estimated
 ,"14.7 µm/m-°C @Temperature 1000 °C","8.17 µin/in-°F @Temperature 1830 °F",Estimated
Thermal Conductivity ,51.9 W/m-K,360 BTU-in/hr-ft²-°F,Typical steel
"Carbon, C ",0.070 - 0.13 %,0.070 - 0.13 %,
"Iron, Fe ",93.67 - 95.35 %,93.67 - 95.35 %,As remainder
"Molybdenum, Mo ",0.080 - 0.15 %,0.080 - 0.15 %,
"Silicon, Si ",0.15 - 0.30 %,0.15 - 0.30 %,
"Hardness, Knoop ",348,348,Converted from Brinell
"Hardness, Rockwell C ",35,35,Converted from Brinell hardness value.
"Tensile Strength, Ultimate ",1089 MPa,157900 psi,
Elongation at Break ,16 %,16 %,in 50 mm
Bulk Modulus ,160 GPa,23200 ksi,Typical for steel.
Machinability ,50 %,50 %,hot rolled and cold drawn. Based on 100% machinability for AISI 1212 steel.
Specific Heat Capacity ,0.472 J/g-°C,0.113 BTU/lb-°F,Estimated
"Chromium, Cr ",1.0 - 1.45 %,1.0 - 1.45 %,
"Manganese, Mn ",0.40 - 0.70 %,0.40 - 0.70 %,
"Nickel, Ni ",2.95 - 3.55 %,2.95 - 3.55 %,
"Sulfur, S ",<= 0.050 %,<= 0.050 %,
