,Metric,English,Comments
Density,7.87 g/cc,0.284 lb/in³,Typical of steel
Modulus of Elasticity,205 GPa,29700 ksi,Typical of steel
Shear Modulus,80.0 GPa,11600 ksi,Typical of steel
"Carbon, C",0.31 - 0.38 %,0.31 - 0.38 %,
"Iron, Fe",94.9 - 96 %,94.9 - 96 %,As Balance
"Molybdenum, Mo",0.30 - 0.40 %,0.30 - 0.40 %,
"Phosphorous, P",<= 0.035 %,<= 0.035 %,
"Sulfur, S",<= 0.040 %,<= 0.040 %,
Poissons Ratio,0.28,0.28,Calculated
"Chromium, Cr",0.65 - 0.90 %,0.65 - 0.90 %,
"Manganese, Mn",0.60 - 0.80 %,0.60 - 0.80 %,
"Nickel, Ni",1.65 - 2.0 %,1.65 - 2.0 %,
"Silicon, Si",0.20 - 0.35 %,0.20 - 0.35 %,
"Vanadium, V",0.17 - 0.23 %,0.17 - 0.23 %,
