,Metric,English,Comments
Density ,7.80 g/cc,0.282 lb/in³,Typical of ASTM Steel
"Hardness, Brinell ","235 - 293 @Thickness 9.50 mm","235 - 293 @Thickness 0.374 in",for plates
"Hardness, Rockwell B ",98,98,Converted from Brinell
"Hardness, Vickers ",278,278,Converted from Brinell
"Tensile Strength, Yield ","690 MPa @Strain 0.200 %","100000 psi @Strain 0.200 %",
Bulk Modulus ,160 GPa,23200 ksi,Typical for steel
"Boron, B ",0.00050 - 0.0050 %,0.00050 - 0.0050 %,
"Chromium, Cr ",0.40 - 0.65 %,0.40 - 0.65 %,
"Manganese, Mn ",0.95 - 1.3 %,0.95 - 1.3 %,
"Nickel, Ni ",0.30 - 0.70 %,0.30 - 0.70 %,
"Silicon, Si ",0.20 - 0.35 %,0.20 - 0.35 %,
"Vanadium, V ",0.030 - 0.080 %,0.030 - 0.080 %,
"Hardness, Knoop ",289,289,Converted from Brinell
"Hardness, Rockwell C ",26,26,Converted from Brinell
"Tensile Strength, Ultimate ",760 - 895 MPa,110000 - 130000 psi,
Elongation at Break ,18 %,18 %,in 50 mm
Shear Modulus ,80.0 GPa,11600 ksi,Typical for steel
"Carbon, C ",0.12 - 0.21 %,0.12 - 0.21 %,
"Iron, Fe ",97 %,97 %,as balance
"Molybdenum, Mo ",0.20 - 0.30 %,0.20 - 0.30 %,
"Phosphorous, P ",0.035 %,0.035 %,
"Sulfur, S ",0.040 %,0.040 %,
