,Metric,English,Comments
Density,7.75 g/cc,0.280 lb/in³,
"Tensile Strength, Ultimate",725 - 930 MPa,105000 - 135000 psi,values depend on plate thickness
Elongation at Break,14 %,14 %,in 50mm
Bulk Modulus,160 GPa,23200 ksi,Typical for Steel
Shear Modulus,80.0 GPa,11600 ksi,Typical for Steel
Electrical Resistivity,0.0000170 ohm-cm,0.0000170 ohm-cm,Typical Carbon Steel
"CTE, linear",12.0 µm/m-°C,6.67 µin/in-°F,Typical Carbon Steel
Thermal Conductivity,52.0 W/m-K,361 BTU-in/hr-ft²-°F,Typical Carbon Steel
"Boron, B ",0.0010 - 0.0050 %,0.0010 - 0.0050 %,
"Chromium, Cr",0.85 - 1.2 %,0.85 - 1.2 %,
"Manganese, Mn",0.45 - 0.70 %,0.45 - 0.70 %,
"Nickel, Ni",1.2 - 1.5 %,1.2 - 1.5 %,
"Silicon, Si",0.20 - 0.35 %,0.20 - 0.35 %,
"Tensile Strength, Yield",620 MPa,89900 psi,values depend on plate thickness
Modulus of Elasticity,200 GPa,29000 ksi,Typical Carbon Steel
Poissons Ratio,0.29,0.29,Typical Carbon Steel
Specific Heat Capacity,0.470 J/g-°C,0.112 BTU/lb-°F,Typical Carbon Steel
"Carbon, C",0.12 - 0.21 %,0.12 - 0.21 %,
"Iron, Fe",96.007 %,96.007 %,as balance
"Molybdenum, Mo",0.45 - 0.60 %,0.45 - 0.60 %,
"Phosphorous, P",0.035 %,0.035 %,
"Sulfur, S",0.040 %,0.040 %,
