,Metric,English,Comments
Density ,7.80 g/cc,0.282 lb/in³,Typical of ASTM Steel
"Tensile Strength, Ultimate ",585 - 760 MPa,84800 - 110000 psi,
Elongation at Break ,18 %,18 %,in 50mm
Bulk Modulus ,160 GPa,23200 ksi,Typical for Steel
Shear Modulus ,80.0 GPa,11600 ksi,Typical for Steel
Electrical Resistivity ,0.0000170 ohm-cm,0.0000170 ohm-cm,Typical Carbon Steel
"CTE, linear ",12.0 µm/m-°C,6.67 µin/in-°F,Typical Carbon Steel
Thermal Conductivity ,52.0 W/m-K,361 BTU-in/hr-ft²-°F,Typical Carbon Steel
"Carbon, C ",0.15 %,0.15 %,
"Copper, Cu ",0.40 %,0.40 %,
"Manganese, Mn ",0.30 - 0.60 %,0.30 - 0.60 %,
"Phosphorous, P ",0.025 %,0.025 %,
"Sulfur, S ",0.025 %,0.025 %,
"Tensile Strength, Yield ",415 MPa,60200 psi,
Modulus of Elasticity ,200 GPa,29000 ksi,Typical Carbon Steel
Poissons Ratio ,0.29,0.29,Typical Carbon Steel
Specific Heat Capacity ,0.470 J/g-°C,0.112 BTU/lb-°F,Typical Carbon Steel
"Chromium, Cr ",2.0 - 2.5 %,2.0 - 2.5 %,
"Iron, Fe ",95.77 %,95.77 %,as balance
"Nickel, Ni ",0.40 %,0.40 %,
"Silicon, Si ",0.50 %,0.50 %,
"Vanadium, V ",0.030 %,0.030 %,
