,Metric,English,Comments
Density,7.80 g/cc,0.282 lb/in³,Typical of ASTM Steel
"Tensile Strength, Ultimate",725 - 860 MPa,105000 - 125000 psi,
Elongation at Break,14 %,14 %,in 50mm
Bulk Modulus,160 GPa,23200 ksi,Typical for Steel
Shear Modulus,80.0 GPa,11600 ksi,Typical for Steel
Electrical Resistivity,0.0000170 ohm-cm,0.0000170 ohm-cm,Typical Carbon Steel
"CTE, linear",12.0 µm/m-°C,6.67 µin/in-°F,Typical Carbon Steel
Thermal Conductivity,52.0 W/m-K,361 BTU-in/hr-ft²-°F,Typical Carbon Steel
"Boron, B ",0.0010 - 0.0030 %,0.0010 - 0.0030 %,
"Chromium, Cr",2.75 - 3.25 %,2.75 - 3.25 %,
"Iron, Fe",95.468 %,95.468 %,as balance
"Nickel, Ni",0.25 %,0.25 %,
"Silicon, Si",0.13 %,0.13 %,
"Titanium, Ti ",0.015 - 0.035 %,0.015 - 0.035 %,
"Tensile Strength, Yield",585 MPa,84800 psi,
Modulus of Elasticity,200 GPa,29000 ksi,Typical Carbon Steel
Poissons Ratio,0.29,0.29,Typical Carbon Steel
Specific Heat Capacity,0.470 J/g-°C,0.112 BTU/lb-°F,Typical Carbon Steel
"Carbon, C",0.10 - 0.15 %,0.10 - 0.15 %,
"Copper, Cu",0.25 %,0.25 %,
"Manganese, Mn",0.30 - 0.60 %,0.30 - 0.60 %,
"Phosphorous, P",0.025 %,0.025 %,
"Sulfur, S",0.025 %,0.025 %,
"Vanadium, V",0.20 - 0.30 %,0.20 - 0.30 %,
