,Metric,English,Comments
Density ,7.80 g/cc,0.282 lb/in³,Typical of ASTM Steel
"Tensile Strength, Ultimate ",725 - 860 MPa,105000 - 125000 psi,
Elongation at Break ,14 %,14 %,in 50mm
Bulk Modulus ,160 GPa,23200 ksi,Typical for Steel
Shear Modulus ,80.0 GPa,11600 ksi,Typical for Steel
Electrical Resistivity ,0.0000170 ohm-cm,0.0000170 ohm-cm,Typical Carbon Steel
"CTE, linear ",12.0 µm/m-°C,6.67 µin/in-°F,Typical Carbon Steel
Thermal Conductivity ,52.0 W/m-K,361 BTU-in/hr-ft²-°F,Typical Carbon Steel
"Carbon, C ",0.23 %,0.23 %,
"Iron, Fe ",94.29 %,94.29 %,as balance
"Nickel, Ni ",2.6 - 3.25 %,2.6 - 3.25 %,
"Silicon, Si ",0.20 - 0.40 %,0.20 - 0.40 %,
"Vanadium, V ",0.030 %,0.030 %,
"Tensile Strength, Yield ",585 MPa,84800 psi,
Modulus of Elasticity ,200 GPa,29000 ksi,Typical Carbon Steel
Poissons Ratio ,0.29,0.29,Typical Carbon Steel
Specific Heat Capacity ,0.470 J/g-°C,0.112 BTU/lb-°F,Typical Carbon Steel
"Chromium, Cr ",1.5 - 2.0 %,1.5 - 2.0 %,
"Manganese, Mn ",0.40 %,0.40 %,
"Phosphorous, P ",0.035 %,0.035 %,
"Sulfur, S ",0.040 %,0.040 %,
