,Metric,English,Comments
Density,7.75 g/cc,0.280 lb/in³,
Tensile Strength at Break ,>= 462 MPa,>= 67000 psi,Varies with size and form
Elongation at Break,>= 21 %,>= 21 %,in 50 mm (2 in.); Varies with size and form
Poissons Ratio,0.28,0.28,Calculated
"Carbon, C",<= 0.20 %,<= 0.20 %,
"Copper, Cu",0.20 - 0.40 %,0.20 - 0.40 %,
"Manganese, Mn",0.75 - 1.25 %,0.75 - 1.25 %,
"Phosphorous, P",<= 0.040 %,<= 0.040 %,
"Sulfur, S",<= 0.050 %,<= 0.050 %,
"Tensile Strength, Yield",>= 317 MPa,>= 46000 psi,Varies with size and form
Modulus of Elasticity,205 GPa,29700 ksi,Typical of steel
Shear Modulus,80.0 GPa,11600 ksi,Typical of steel
"Chromium, Cr",0.40 - 0.70 %,0.40 - 0.70 %,
"Iron, Fe",96.5 - 98.2 %,96.5 - 98.2 %,As Balance
"Nickel, Ni",0.25 - 0.50 %,0.25 - 0.50 %,
"Silicon, Si",0.15 - 0.30 %,0.15 - 0.30 %,
"Vanadium, V",0.010 - 0.10 %,0.010 - 0.10 %,
