,Metric,English,Comments
Density,7.75 g/cc,0.280 lb/in³,
Tensile Strength at Break ,>= 483 MPa,>= 70000 psi,Varies with size and form
Elongation at Break,>= 18 %,>= 18 %,in 200 mm (8 in.); Varies with size and form
 ,>= 21 %,>= 21 %,in 50 mm (2 in.); Varies with size and form
Poissons Ratio,0.28,0.28,Calculated
"Carbon, C",<= 0.15 %,<= 0.15 %,
"Copper, Cu",0.20 - 0.50 %,0.20 - 0.50 %,
"Manganese, Mn",0.80 - 1.35 %,0.80 - 1.35 %,
"Phosphorous, P",<= 0.040 %,<= 0.040 %,
"Sulfur, S",<= 0.050 %,<= 0.050 %,
"Tensile Strength, Yield",>= 345 MPa,>= 50000 psi,Varies with size and form
Modulus of Elasticity,205 GPa,29700 ksi,Typical of steel
Shear Modulus,80.0 GPa,11600 ksi,Typical of steel
"Chromium, Cr",0.30 - 0.50 %,0.30 - 0.50 %,
"Iron, Fe",96.5 - 98.3 %,96.5 - 98.3 %,As Balance
"Nickel, Ni",0.25 - 0.50 %,0.25 - 0.50 %,
"Silicon, Si",0.15 - 0.30 %,0.15 - 0.30 %,
"Vanadium, V",0.010 - 0.10 %,0.010 - 0.10 %,
