,Metric,English,Comments
Density,7.75 g/cc,0.280 lb/in³,
Tensile Strength at Break ,483 - 621 MPa,70000 - 90000 psi,Minimum; Varies with size and form
Elongation at Break,>= 18 %,>= 18 %,in 200 mm (8 in.); Varies with size and form
 ,>= 23 %,>= 23 %,in 50 mm (2 in.); Varies with size and form
Poissons Ratio,0.28,0.28,Calculated
"Carbon, C",<= 0.20 %,<= 0.20 %,
"Copper, Cu",<= 0.35 %,<= 0.35 %,
"Manganese, Mn",0.70 - 1.6 %,0.70 - 1.6 %,spec depends on size and form
"Nickel, Ni",<= 0.25 %,<= 0.25 %,
"Silicon, Si",0.15 - 0.50 %,0.15 - 0.50 %,
"Tensile Strength, Yield",>= 345 MPa,>= 50000 psi,Varies with size and form
Modulus of Elasticity,205 GPa,29700 ksi,Typical of steel
Shear Modulus,80.0 GPa,11600 ksi,Typical of steel
"Chromium, Cr",<= 0.25 %,<= 0.25 %,
"Iron, Fe",>= 96.7 %,>= 96.7 %,As Balance
"Molybdenum, Mo",<= 0.080 %,<= 0.080 %,
"Phosphorous, P",<= 0.040 %,<= 0.040 %,
"Sulfur, S",<= 0.050 %,<= 0.050 %,
