,Metric,English,Comments
Density ,7.85 g/cc,0.284 lb/in³,
"Tensile Strength, Ultimate ",450 MPa,65300 psi,
Elongation at Break ,20 %,20 %,
Bulk Modulus ,160 GPa,23200 ksi,Typical for steels
Shear Modulus ,80.0 GPa,11600 ksi,Typical for steel.
Electrical Resistivity ,0.0000234 ohm-cm,0.0000234 ohm-cm,Typical steel
Specific Heat Capacity ,0.475 J/g-°C,0.114 BTU/lb-°F,Typical steel
"Carbon, C ",<= 0.070 %,<= 0.070 %,
"Copper, Cu ",1.0 - 1.3 %,1.0 - 1.3 %,
"Manganese, Mn ",0.40 - 0.70 %,0.40 - 0.70 %,
"Nickel, Ni ",0.70 - 1.0 %,0.70 - 1.0 %,
"Phosphorous, P ",<= 0.025 %,<= 0.025 %,
"Sulfur, S ",<= 0.025 %,<= 0.025 %,
"Tensile Strength, Yield ",380 MPa,55100 psi,
Modulus of Elasticity ,205 GPa,29700 ksi,Typical for steel
Poissons Ratio ,0.29,0.29,Calculated
Thermal Conductivity ,46.6 W/m-K,323 BTU-in/hr-ft²-°F,Typical steel
"Chromium, Cr ",0.60 - 0.90 %,0.60 - 0.90 %,
"Iron, Fe ",95.33 - 97.13 %,95.33 - 97.13 %,As remainder
"Molybdenum, Mo ",0.15 - 0.25 %,0.15 - 0.25 %,
"Niobium, Nb (Columbium, Cb) ",>= 0.020 %,>= 0.020 %,
"Silicon, Si ",<= 0.40 %,<= 0.40 %,
