,Metric,English,Comments
Density,7.86 g/cc,0.284 lb/in³,
"Hardness, Rockwell C",27,27,
"Tensile Strength, Yield","571 MPa @Strain 0.200 %","82800 psi @Strain 0.200 %",
Reduction of Area,58 %,58 %,
"Carbon, C",0.10 %,0.10 %,
"Iron, Fe",94 %,94 %,as balance
"Molybdenum, Mo",0.12 %,0.12 %,
"Phosphorous, P",0.010 %,0.010 %,
"Sulfur, S",0.010 %,0.010 %,
"Tensile Strength, Ultimate",907 MPa,132000 psi,
Elongation at Break,19 %,19 %,
"Chromium, Cr",1.2 %,1.2 %,
"Manganese, Mn",0.55 %,0.55 %,
"Nickel, Ni",3.33 %,3.33 %,
"Silicon, Si",0.25 %,0.25 %,
