,Metric,English,Comments
Density ,7.83 g/cc,0.283 lb/in³,
"Hardness, Rockwell C ",52,52,
"Tensile Strength, Yield ","1861 MPa @Strain 0.200 %","269900 psi @Strain 0.200 %",
Reduction of Area ,38 %,38 %,
"Carbon, C ",0.40 %,0.40 %,
"Iron, Fe ",96 %,96 %,as balance
"Molybdenum, Mo ",0.25 %,0.25 %,
"Phosphorous, P ",0.020 %,0.020 %,
"Sulfur, S ",0.020 %,0.020 %,
"Tensile Strength, Ultimate ",1964 MPa,284900 psi,
Elongation at Break ,10 %,10 %,
"Chromium, Cr ",0.80 %,0.80 %,
"Manganese, Mn ",0.70 %,0.70 %,
"Nickel, Ni ",1.83 %,1.83 %,
"Silicon, Si ",0.23 %,0.23 %,
