,Metric,English,Comments
Density,7.80 g/cc,0.282 lb/in³,Typical of ASTM Steel
"Hardness, Brinell",172,172,based on conversion from tensile strength
Tensile Strength at Break ,>= 586 MPa,>= 85000 psi,
Elongation at Break,>= 20 %,>= 20 %,"in 2"""
"Carbon, C",<= 0.070 %,<= 0.070 %,
"Copper, Cu",1.0 - 1.3 %,1.0 - 1.3 %,
"Manganese, Mn",0.40 - 0.70 %,0.40 - 0.70 %,
"Nickel, Ni",0.70 - 1.0 %,0.70 - 1.0 %,
"Phosphorous, P",<= 0.025 %,<= 0.025 %,
"Sulfur, S",<= 0.025 %,<= 0.025 %,
"Hardness, Rockwell B",87,87,based on conversion from tensile strength
"Tensile Strength, Yield",>= 517 MPa,>= 75000 psi,
"Bend Radius, Minimum ",2.0 t,2.0 t,"≤1"" W; ASTM A6 PARA. S14"
"Chromium, Cr",0.60 - 0.90 %,0.60 - 0.90 %,
"Iron, Fe",>= 95.31 %,>= 95.31 %,
"Molybdenum, Mo",0.15 - 0.25 %,0.15 - 0.25 %,
"Niobium, Nb (Columbium, Cb) ",>= 0.020 %,>= 0.020 %,
"Silicon, Si",<= 0.40 %,<= 0.40 %,
