,Metric,English,Comments
Density,7.78 g/cc,0.281 lb/in³,Value supplied by MatWeb
"Hardness, Rockwell C",53,53,"Air Cooled from 860°C, 45 minutes"
 ,55,55,"Oil Quenched from 830°C, 45 minutes"
 ,57,57,"Air Cooled from 900°C, 45 minutes"
 ,59,59,"Oil Quenched from 870°C, 45 minutes"
"CTE, linear","12.2 µm/m-°C @Temperature 20.0 - 100 °C","6.78 µin/in-°F @Temperature 68.0 - 212 °F",
 ,"14.2 µm/m-°C @Temperature 20.0 - 500 °C","7.89 µin/in-°F @Temperature 68.0 - 932 °F",
Processing Temperature ,732 °C,1350 °F,Critical Temperaure Ac1
 ,771 °C,1420 °F,Critical Temperaure Ac3
"Carbon, C",0.50 %,0.50 %,
"Iron, Fe",94.85 %,94.85 %,
"Molybdenum, Mo",0.50 %,0.50 %,
"Silicon, Si",0.25 %,0.25 %,
Machinability,75 - 80 %,75 - 80 %,1% Carbon Steel
Thermal Conductivity,"35.0 W/m-K @Temperature 700 °C","243 BTU-in/hr-ft²-°F @Temperature 1290 °F",
 ,"36.0 W/m-K @Temperature 20.0 °C","250 BTU-in/hr-ft²-°F @Temperature 68.0 °F",
 ,"38.0 W/m-K @Temperature 350 °C","264 BTU-in/hr-ft²-°F @Temperature 662 °F",
"Chromium, Cr",1.3 %,1.3 %,
"Manganese, Mn",0.85 %,0.85 %,
"Nickel, Ni",1.65 %,1.65 %,
"Vanadium, V",0.10 %,0.10 %,
