,Metric,English,Comments
Density,7.83 g/cc,0.283 lb/in³,
"Tensile Strength, Ultimate",1670 MPa,242000 psi,Transverse
 ,1670 MPa,242000 psi,Longitudinal
Elongation at Break,17 %,17 %,Longitudinal
 ,17 %,17 %,Transverse
Modulus of Elasticity,203 GPa,29400 ksi,
Charpy Impact,76.0 J,56.1 ft-lb,"V-Notch, Transverse"
 ,84.0 J,62.0 ft-lb,"V-Notch, Longitudinal"
Processing Temperature ,168 °C,334 °F,Martensitic Finish
 ,336 °C,637 °F,Martensitic Start
"Carbon, C",0.15 %,0.15 %,
"Cobalt, Co ",14 %,14 %,
"Manganese, Mn",0.10 %,0.10 %,
"Nickel, Ni",10 %,10 %,
"Tensile Strength, Yield",1517 MPa,220000 psi,Transverse
 ,1517 MPa,220000 psi,Longitudinal
Reduction of Area,70 %,70 %,Transverse
 ,73 %,73 %,Longitudinal
Fracture Toughness ,165 MPa-m½,150 ksi-in½,
"Chromium, Cr",2.0 %,2.0 %,
"Iron, Fe",72.65 %,72.65 %,
"Molybdenum, Mo",1.0 %,1.0 %,
"Silicon, Si",0.10 %,0.10 %,
