,Metric,English,Comments
Density,7.75 g/cc,0.280 lb/in³,
"Hardness, Rockwell C",51,51,"1"" from quench end; Jominy End Quench Hardenability"
 ,51,51,"1/2"" from quenched end; Jominy End Quench Hardenability"
 ,52,52,"1/8"" from quenched end; Jominy End Quench Hardenability"
"Tensile Strength, Yield","1310 - 1340 MPa @Strain 0.200 %","190000 - 194000 psi @Strain 0.200 %",
Reduction of Area,51.7 - 52.5 %,51.7 - 52.5 %,
Charpy Impact,"27.0 J @Temperature -54.0 °C","19.9 ft-lb @Temperature -65.2 °F",V-notch
"CTE, linear","11.3 µm/m-°C @Temperature 20.0 - 427 °C","6.28 µin/in-°F @Temperature 68.0 - 801 °F",
"Carbon, C",0.30 %,0.30 %,
"Cobalt, Co ",4.5 %,4.5 %,
"Manganese, Mn",0.30 %,0.30 %,
"Nickel, Ni",7.5 %,7.5 %,
"Vanadium, V",0.10 %,0.10 %,
"Tensile Strength, Ultimate",1590 - 1600 MPa,230000 - 232000 psi,
Elongation at Break,15 %,15 %,
Fracture Toughness ,143 MPa-m½,130 ksi-in½,
"Chromium, Cr",1.0 %,1.0 %,
"Iron, Fe",85.2 %,85.2 %,
"Molybdenum, Mo",1.0 %,1.0 %,
"Silicon, Si",0.10 %,0.10 %,
