,Metric,English,Comments
Density ,8.10 g/cc,0.293 lb/in³,
"Hardness, Vickers ",160,160,
"Tensile Strength, Yield  ","250 MPa
@Strain 0.200 %,
Temperature 400 °C","36300 psi
@Strain 0.200 %,
Temperature 752 °F",
 ,"320 MPa
@Strain 0.200 %,
Temperature 20.0 °C","46400 psi
@Strain 0.200 %,
Temperature 68.0 °F",
Reduction of Area ,60 %,60 %,
"CTE, linear ","17.0 µm/m-°C
@Temperature 20.0 - 400 °C","9.44 µin/in-°F
@Temperature 68.0 - 752 °F",
"Carbon, C ",<= 0.0200 %,<= 0.0200 %,Filler metal
 ,<= 0.0200 %,<= 0.0200 %,All-weld metal
"Copper, Cu ",1.5 %,1.5 %,Filler metal
 ,1.5 %,1.5 %,All-weld metal
"Molybdenum, Mo ",4.5 %,4.5 %,Filler metal
 ,4.5 %,4.5 %,All-weld metal
"Phosphorous, P ",<= 0.0150 %,<= 0.0150 %,Filler metal
 ,<= 0.0150 %,<= 0.0150 %,All-weld metal
"Sulfur, S ",<= 0.0150 %,<= 0.0150 %,Filler metal
 ,<= 0.0150 %,<= 0.0150 %,All-weld metal
"Tensile Strength, Ultimate  ","410 MPa
@Temperature 40.0 °C","59500 psi
@Temperature 104 °F",
 ,"540 MPa
@Temperature 20.0 °C","78300 psi
@Temperature 68.0 °F",
Elongation at Break  ,"29 %
@Temperature 400 °C","29 %
@Temperature 752 °F",
 ,"37 %
@Temperature 20.0 °C","37 %
@Temperature 68.0 °F",
Charpy Impact  ,"100 J
@Temperature -196 °C","73.8 ft-lb
@Temperature -321 °F",
 ,"120 J
@Temperature 20.0 °C","88.5 ft-lb
@Temperature 68.0 °F",
Thermal Conductivity ,13.0 W/m-K,90.2 BTU-in/hr-ft²-°F,
"Chromium, Cr ",19.5 %,19.5 %,All-weld metal
 ,20 %,20 %,Filler metal
"Manganese, Mn ",1.5 %,1.5 %,All-weld metal
 ,1.8 %,1.8 %,Filler metal
"Nickel, Ni ",25 %,25 %,Filler metal
 ,25 %,25 %,All-weld metal
"Silicon, Si ",0.40 %,0.40 %,Filler metal
 ,0.40 %,0.40 %,All-weld metal
