,Metric,English,Comments
"Hardness, Vickers",220,220,
"Tensile Strength, Yield","600 MPa @Strain 0.200 %","87000 psi @Strain 0.200 %",
Reduction of Area,25 %,25 %,
"Carbon, C",<= 0.0100 %,<= 0.0100 %,
"Manganese, Mn",1.5 %,1.5 %,
"Phosphorous, P",<= 0.0400 %,<= 0.0400 %,
"Sulfur, S",<= 0.0250 %,<= 0.0250 %,
"Tensile Strength, Ultimate",720 MPa,104000 psi,
Elongation at Break,25 %,25 %,
Charpy Impact,50.0 J,36.9 ft-lb,
"Chromium, Cr",28.5 %,28.5 %,
"Nickel, Ni",10 %,10 %,
"Silicon, Si",0.080 %,0.080 %,
