,Metric,English,Comments
Density,7.85 g/cc,0.284 lb/in³,
"Hardness, Brinell",470,470,
"Tensile Strength, Yield","1250 MPa @Strain 0.200 %","181000 psi @Strain 0.200 %",
 ,"520 MPa @Strain 0.200 %,
Temperature 500 °C","75400 psi @Strain 0.200 %,
Temperature 932 °F",
 ,"880 MPa @Strain 0.200 %,
Temperature 400 °C","128000 psi @Strain 0.200 %,
Temperature 752 °F",
 ,"1080 MPa @Strain 0.200 %,
Temperature 200 °C","157000 psi @Strain 0.200 %,
Temperature 392 °F",
Modulus of Elasticity,205 GPa,29700 ksi,
"CTE, linear","11.0 µm/m-°C @Temperature 20.0 - 100 °C","6.11 µin/in-°F @Temperature 68.0 - 212 °F",
 ,"12.0 µm/m-°C @Temperature 20.0 - 200 °C","6.67 µin/in-°F @Temperature 68.0 - 392 °F",
 ,"12.5 µm/m-°C @Temperature 20.0 - 300 °C","6.94 µin/in-°F @Temperature 68.0 - 572 °F",
 ,"13.0 µm/m-°C @Temperature 20.0 - 400 °C","7.22 µin/in-°F @Temperature 68.0 - 752 °F",
 ,"14.0 µm/m-°C @Temperature 20.0 - 500 °C","7.78 µin/in-°F @Temperature 68.0 - 932 °F",
"Carbon, C",<= 0.280 %,<= 0.280 %,
"Manganese, Mn",<= 1.30 %,<= 1.30 %,
"Nickel, Ni",0.040 %,0.040 %,
"Tensile Strength, Ultimate",1630 MPa,236000 psi,
 ,"900 MPa @Temperature 500 °C","131000 psi @Temperature 932 °F",
 ,"1250 MPa @Temperature 400 °C","181000 psi @Temperature 752 °F",
 ,"1650 MPa @Temperature 200 °C","239000 psi @Temperature 392 °F",
Elongation at Break,12 %,12 %,
"Chromium, Cr",<= 0.700 %,<= 0.700 %,
"Molybdenum, Mo",<= 0.200 %,<= 0.200 %,
"Sulfur, S",<= 0.00200 %,<= 0.00200 %,
