,Metric,English,Comments
Density,8.00 g/cc,0.289 lb/in³,
"Hardness, Brinell",<= 215,<= 215,
"Tensile Strength, Yield",">= 205 MPa @Strain 0.200 %",">= 29700 psi @Strain 0.200 %",
 ,">= 240 MPa @Strain 1.00 %",">= 34800 psi @Strain 1.00 %",
 ,">= 100 MPa @Strain 0.200 %,
Temperature 500 °C",">= 14500 psi @Strain 0.200 %,
Temperature 932 °F",
 ,">= 108 MPa @Strain 0.200 %,
Temperature 400 °C",">= 15700 psi @Strain 0.200 %,
Temperature 752 °F",
 ,">= 119 MPa @Strain 0.200 %,
Temperature 300 °C",">= 17300 psi @Strain 0.200 %,
Temperature 572 °F",
 ,">= 128 MPa @Strain 1.00 %,
Temperature 500 °C",">= 18600 psi @Strain 1.00 %,
Temperature 932 °F",
 ,">= 135 MPa @Strain 1.00 %,
Temperature 400 °C",">= 19600 psi @Strain 1.00 %,
Temperature 752 °F",
 ,">= 137 MPa @Strain 0.200 %,
Temperature 200 °C",">= 19900 psi @Strain 0.200 %,
Temperature 392 °F",
 ,">= 145 MPa @Strain 1.00 %,
Temperature 300 °C",">= 21000 psi @Strain 1.00 %,
Temperature 572 °F",
 ,">= 165 MPa @Strain 0.200 %,
Temperature 100 °C",">= 23900 psi @Strain 0.200 %,
Temperature 212 °F",
 ,">= 165 MPa @Strain 1.00 %,
Temperature 200 °C",">= 23900 psi @Strain 1.00 %,
Temperature 392 °F",
 ,">= 200 MPa @Strain 1.00 %,
Temperature 100 °C",">= 29000 psi @Strain 1.00 %,
Temperature 212 °F",
Reduction of Area,>= 50 %,>= 50 %,
"CTE, linear","16.5 µm/m-°C @Temperature 30.0 - 100 °C","9.17 µin/in-°F @Temperature 86.0 - 212 °F",
 ,"17.0 µm/m-°C @Temperature 30.0 - 200 °C","9.44 µin/in-°F @Temperature 86.0 - 392 °F",
 ,"17.5 µm/m-°C @Temperature 30.0 - 300 °C","9.72 µin/in-°F @Temperature 86.0 - 572 °F",
 ,"18.0 µm/m-°C @Temperature 30.0 - 500 °C","10.0 µin/in-°F @Temperature 86.0 - 932 °F",
 ,"18.0 µm/m-°C @Temperature 30.0 - 400 °C","10.0 µin/in-°F @Temperature 86.0 - 752 °F",
 ,"18.5 µm/m-°C @Temperature 30.0 - 600 °C","10.3 µin/in-°F @Temperature 86.0 - 1110 °F",
 ,"18.5 µm/m-°C @Temperature 30.0 - 700 °C","10.3 µin/in-°F @Temperature 86.0 - 1290 °F",
Thermal Conductivity,"14.0 W/m-K @Temperature 20.0 °C","97.2 BTU-in/hr-ft²-°F @Temperature 68.0 °F",
 ,"15.0 W/m-K @Temperature 100 °C","104 BTU-in/hr-ft²-°F @Temperature 212 °F",
 ,"17.0 W/m-K @Temperature 200 °C","118 BTU-in/hr-ft²-°F @Temperature 392 °F",
 ,"18.0 W/m-K @Temperature 300 °C","125 BTU-in/hr-ft²-°F @Temperature 572 °F",
 ,"20.0 W/m-K @Temperature 400 °C","139 BTU-in/hr-ft²-°F @Temperature 752 °F",
 ,"21.0 W/m-K @Temperature 500 °C","146 BTU-in/hr-ft²-°F @Temperature 932 °F",
 ,"23.0 W/m-K @Temperature 600 °C","160 BTU-in/hr-ft²-°F @Temperature 1110 °F",
"Carbon, C",<= 0.030 %,<= 0.030 %,
"Iron, Fe",68.4 %,68.4 %,As Balance
"Molybdenum, Mo",2.1 %,2.1 %,
"Phosphorous, P",<= 0.040 %,<= 0.040 %,
"Sulfur, S",<= 0.030 %,<= 0.030 %,
"Tensile Strength, Ultimate",515 - 690 MPa,74700 - 100000 psi,
 ,">= 360 MPa @Temperature 500 °C",">= 52200 psi @Temperature 932 °F",
 ,">= 380 MPa @Temperature 300 °C",">= 55100 psi @Temperature 572 °F",
 ,">= 380 MPa @Temperature 400 °C",">= 55100 psi @Temperature 752 °F",
 ,">= 390 MPa @Temperature 200 °C",">= 56600 psi @Temperature 392 °F",
 ,">= 430 MPa @Temperature 100 °C",">= 62400 psi @Temperature 212 °F",
Elongation at Break,>= 40 %,>= 40 %,
Modulus of Elasticity,200 GPa,29000 ksi,
 ,"165 GPa @Temperature 500 °C","23900 ksi @Temperature 932 °F",
 ,"172 GPa @Temperature 400 °C","24900 ksi @Temperature 752 °F",
 ,"179 GPa @Temperature 300 °C","26000 ksi @Temperature 572 °F",
 ,"186 GPa @Temperature 200 °C","27000 ksi @Temperature 392 °F",
 ,"194 GPa @Temperature 100 °C","28100 ksi @Temperature 212 °F",
Specific Heat Capacity,"0.485 J/g-°C @Temperature 20.0 °C","0.116 BTU/lb-°F @Temperature 68.0 °F",
 ,"0.500 J/g-°C @Temperature 100 °C","0.120 BTU/lb-°F @Temperature 212 °F",
 ,"0.515 J/g-°C @Temperature 200 °C","0.123 BTU/lb-°F @Temperature 392 °F",
 ,"0.525 J/g-°C @Temperature 300 °C","0.125 BTU/lb-°F @Temperature 572 °F",
 ,"0.540 J/g-°C @Temperature 400 °C","0.129 BTU/lb-°F @Temperature 752 °F",
 ,"0.555 J/g-°C @Temperature 500 °C","0.133 BTU/lb-°F @Temperature 932 °F",
 ,"0.575 J/g-°C @Temperature 600 °C","0.137 BTU/lb-°F @Temperature 1110 °F",
"Chromium, Cr",17 %,17 %,
"Manganese, Mn",1.8 %,1.8 %,
"Nickel, Ni",10 %,10 %,
"Silicon, Si",0.30 %,0.30 %,
