,Metric,English,Comments
Density,8.89 g/cc,0.321 lb/in³,
"Tensile Strength, Ultimate",>= 690 MPa,>= 100000 psi,Rm
Elongation at Break,>= 40.0 %,>= 40.0 %,
"CTE, linear","12.2 µm/m-°C @Temperature 25.0 - 100 °C","6.78 µin/in-°F @Temperature 77.0 - 212 °F",
 ,"12.4 µm/m-°C @Temperature 25.0 - 200 °C","6.89 µin/in-°F @Temperature 77.0 - 392 °F",
 ,"12.9 µm/m-°C @Temperature 25.0 - 300 °C","7.17 µin/in-°F @Temperature 77.0 - 572 °F",
 ,"13.2 µm/m-°C @Temperature 25.0 - 400 °C","7.33 µin/in-°F @Temperature 77.0 - 752 °F",
 ,"13.5 µm/m-°C @Temperature 25.0 - 500 °C","7.50 µin/in-°F @Temperature 77.0 - 932 °F",
 ,"13.6 µm/m-°C @Temperature 25.0 - 600 °C","7.56 µin/in-°F @Temperature 77.0 - 1110 °F",
 ,"14.1 µm/m-°C @Temperature 25.0 - 700 °C","7.83 µin/in-°F @Temperature 77.0 - 1290 °F",
 ,"14.8 µm/m-°C @Temperature 25.0 - 800 °C","8.22 µin/in-°F @Temperature 77.0 - 1470 °F",
Thermal Conductivity,"7.20 W/m-K @Temperature -168 °C","50.0 BTU-in/hr-ft²-°F @Temperature -270 °F",
 ,"8.70 W/m-K @Temperature -73.0 °C","60.4 BTU-in/hr-ft²-°F @Temperature -99.4 °F",
 ,"9.80 W/m-K @Temperature 20.0 °C","68.0 BTU-in/hr-ft²-°F @Temperature 68.0 °F",
 ,"11.2 W/m-K @Temperature 100 °C","77.7 BTU-in/hr-ft²-°F @Temperature 212 °F",
 ,"14.7 W/m-K @Temperature 300 °C","102 BTU-in/hr-ft²-°F @Temperature 572 °F",
 ,"20.0 W/m-K @Temperature 600 °C","139 BTU-in/hr-ft²-°F @Temperature 1110 °F",
 ,"25.4 W/m-K @Temperature 900 °C","176 BTU-in/hr-ft²-°F @Temperature 1650 °F",
"Carbon, C",<= 0.0100 %,<= 0.0100 %,
"Cobalt, Co ",<= 2.50 %,<= 2.50 %,
"Manganese, Mn",<= 1.00 %,<= 1.00 %,
"Nickel, Ni",57 %,57 %,
"Silicon, Si",<= 0.0800 %,<= 0.0800 %,
"Tungsten, W ",3.5 %,3.5 %,
"Tensile Strength, Yield",">= 283 MPa @Strain 0.200 %",">= 41000 psi @Strain 0.200 %",
Modulus of Elasticity,"159 GPa @Temperature 800 °C","23100 ksi @Temperature 1470 °F",
 ,"167 GPa @Temperature 700 °C","24200 ksi @Temperature 1290 °F",
 ,"178 GPa @Temperature 600 °C","25800 ksi @Temperature 1110 °F",
 ,"180 GPa @Temperature 500 °C","26100 ksi @Temperature 932 °F",
 ,"192 GPa @Temperature 300 °C","27800 ksi @Temperature 572 °F",
 ,"198 GPa @Temperature 200 °C","28700 ksi @Temperature 392 °F",
 ,"203 GPa @Temperature 100 °C","29400 ksi @Temperature 212 °F",
 ,"205 GPa @Temperature 25.0 °C","29700 ksi @Temperature 77.0 °F",
Specific Heat Capacity,0.427 J/g-°C,0.102 BTU/lb-°F,
"Chromium, Cr",16 %,16 %,
"Iron, Fe",4.5 %,4.5 %,
"Molybdenum, Mo",16 %,16 %,
"Phosphorous, P",<= 0.0300 %,<= 0.0300 %,
"Sulfur, S",<= 0.0150 %,<= 0.0150 %,
"Vanadium, V",<= 0.350 %,<= 0.350 %,
