,Metric,English,Comments
Density ,8.30 g/cc,0.300 lb/in,
"Hardness, Vickers ",220,220,
"Tensile Strength, Yield ","430 MPa @Strain 0.200 %","62400 psi @Strain 0.200 %",
Reduction of Area ,51 %,51 %,
"CTE, linear ","12.0 m/m-C @Temperature 20.0 - 400 C","6.67 in/in-F @Temperature 68.0 - 752 F",
"Aluminum, Al ",0.30 %,0.30 %,Filler metal
"Chromium, Cr ",23 %,23 %,Filler metal
 ,23 %,23 %,All-weld metal
"Iron, Fe ",<= 1.50 %,<= 1.50 %,Filler metal
"Molybdenum, Mo ",15.5 %,15.5 %,Filler metal
 ,15.5 %,15.5 %,All-weld metal
"Phosphorous, P ",<= 0.0150 %,<= 0.0150 %,Filler metal
"Sulfur, S ",<= 0.0100 %,<= 0.0100 %,Filler metal
"Tensile Strength, Ultimate ",770 MPa,112000 psi,
Elongation at Break ,42 %,42 %,
Charpy Impact  ,"70.0 J @Temperature -196 C","51.6 ft-lb @Temperature -321 F",
 ,"150 J @Temperature 20.0 C","111 ft-lb @Temperature 68.0 F",
Thermal Conductivity  ,"15.0 W/m-K @Temperature 20.0 C","104 BTU-in/hr-ft-F @Temperature 68.0 F",
 ,"16.0 W/m-K @Temperature 100 C","111 BTU-in/hr-ft-F @Temperature 212 F",
 ,"18.0 W/m-K @Temperature 300 C","125 BTU-in/hr-ft-F @Temperature 572 F",
 ,"22.0 W/m-K @Temperature 500 C","153 BTU-in/hr-ft-F @Temperature 932 F",
 ,"25.0 W/m-K @Temperature 700 C","174 BTU-in/hr-ft-F @Temperature 1290 F",
"Carbon, C ",0.0020 %,0.0020 %,All-weld metal
 ,<= 0.0100 %,<= 0.0100 %,Filler metal
"Cobalt, Co ",<= 0.300 %,<= 0.300 %,Filler metal
"Manganese, Mn ",0.20 %,0.20 %,All-weld metal
 ,<= 0.500 %,<= 0.500 %,Filler metal
"Nickel, Ni ",59 %,59 %,Filler metal
 ,60 %,60 %,All-weld metal
"Silicon, Si ",0.020 %,0.020 %,All-weld metal
 ,<= 0.100 %,<= 0.100 %,Filler metal
