,Metric,English,Comments
"Tensile Strength, Ultimate",770 MPa,112000 psi,
Elongation at Break,30 %,30 %,
"Carbon, C",<= 0.0500 %,<= 0.0500 %,
"Iron, Fe",<= 2.00 %,<= 2.00 %,
"Molybdenum, Mo",9.0 %,9.0 %,
"Niobium, Nb (Columbium, Cb) ",3.4 %,3.4 %,
"Silicon, Si",0.40 %,0.40 %,
"Tensile Strength, Yield","530 MPa @Strain 0.200 %","76900 psi @Strain 0.200 %",
Charpy Impact,"45.0 J @Temperature -196 C","33.2 ft-lb @Temperature -321 F",
 ,"65.0 J @Temperature 20.0 C","47.9 ft-lb @Temperature 68.0 F",
"Chromium, Cr",21 %,21 %,
"Manganese, Mn",1.0 %,1.0 %,
"Nickel, Ni",60 %,60 %,
"Phosphorous, P",<= 0.0150 %,<= 0.0150 %,
"Sulfur, S",<= 0.0100 %,<= 0.0100 %,
