,Metric,English,Comments
Density ,8.10 g/cc,0.293 lb/in,
"Tensile Strength, Ultimate  ","520 MPa @Temperature 400 C","75400 psi @Temperature 752 F",After PWHT1) at 610C (1130 F) for 24 hours
 ,"550 MPa @Temperature 360 C","79800 psi @Temperature 680 F",After PWHT1) at 610C (1130 F) for 24 hours
 ,"565 MPa @Temperature 360 C","81900 psi @Temperature 680 F",After PWHT1) at 610C (1130 F) for 40 hours
 ,"650 MPa @Temperature 20.0 C","94300 psi @Temperature 68.0 F",After PWHT1) at 610C (1130 F) for 24 hours
 ,"690 MPa @Temperature 20.0 C","100000 psi @Temperature 68.0 F",After PWHT1) at 610C (1130 F) for 40 hours
Elongation at Break  ,"32 % @Temperature 20.0 C","32 % @Temperature 68.0 F",After PWHT1) at 610C (1130 F) for 40 hours
 ,"34 % @Temperature 360 C","34 % @Temperature 680 F",After PWHT1) at 610C (1130 F) for 40 hours
 ,"37 % @Temperature 20.0 C","37 % @Temperature 68.0 F",After PWHT1) at 610C (1130 F) for 24 hours
 ,"37 % @Temperature 360 C","37 % @Temperature 680 F",After PWHT1) at 610C (1130 F) for 24 hours
 ,"37 % @Temperature 400 C","37 % @Temperature 752 F",After PWHT1) at 610C (1130 F) for 24 hours
Charpy Impact ,180 J,133 ft-lb,After PWHT1) at 610C (1130 F) for 24 hours
"CTE, linear ","15.0 m/m-C @Temperature 30.0 - 400 C","8.33 in/in-F @Temperature 86.0 - 752 F",
"Aluminum, Al ",0.50 %,0.50 %,Filler metal
 ,0.50 %,0.50 %,All-weld metal
"Chromium, Cr ",29.5 %,29.5 %,All-weld metal
 ,30 %,30 %,Filler metal
"Manganese, Mn ",0.90 %,0.90 %,Filler metal
 ,0.90 %,0.90 %,All-weld metal
"Nickel, Ni ",58.5 %,58.5 %,All-weld metal
 ,60 %,60 %,Filler metal
"Phosphorous, P ",<= 0.0100 %,<= 0.0100 %,Filler metal
 ,<= 0.0100 %,<= 0.0100 %,All-weld metal
"Sulfur, S ",<= 0.0100 %,<= 0.0100 %,Filler metal
 ,<= 0.0100 %,<= 0.0100 %,All-weld metal
"Tensile Strength, Yield  ","330 MPa @Strain 0.200 %,
Temperature 400 C","47900 psi @Strain 0.200 %,
Temperature 752 F",After PWHT1) at 610C (1130 F) for 24 hours
 ,"350 MPa @Strain 0.200 %,
Temperature 360 C","50800 psi @Strain 0.200 %,
Temperature 680 F",After PWHT1) at 610C (1130 F) for 24 hours
 ,"380 MPa @Strain 0.200 %,
Temperature 360 C","55100 psi @Strain 0.200 %,
Temperature 680 F",After PWHT1) at 610C (1130 F) for 40 hours
 ,"410 MPa @Strain 0.200 %,
Temperature 20.0 C","59500 psi @Strain 0.200 %,
Temperature 68.0 F",After PWHT1) at 610C (1130 F) for 24 hours
 ,"460 MPa @Strain 0.200 %,
Temperature 20.0 C","66700 psi @Strain 0.200 %,
Temperature 68.0 F",After PWHT1) at 610C (1130 F) for 40 hours
Reduction of Area  ,"32 % @Temperature 20.0 C","32 % @Temperature 68.0 F",After PWHT1) at 610C (1130 F) for 40 hours
 ,"34 % @Temperature 360 C","34 % @Temperature 680 F",After PWHT1) at 610C (1130 F) for 40 hours
 ,"43 % @Temperature 20.0 C","43 % @Temperature 68.0 F",After PWHT1) at 610C (1130 F) for 24 hours
 ,"48 % @Temperature 360 C","48 % @Temperature 680 F",After PWHT1) at 610C (1130 F) for 24 hours
 ,"48 % @Temperature 400 C","48 % @Temperature 752 F",After PWHT1) at 610C (1130 F) for 24 hours
Thermal Conductivity  ,"11.0 W/m-K @Temperature 20.0 C","76.3 BTU-in/hr-ft-F @Temperature 68.0 F",
 ,"16.0 W/m-K @Temperature 100 C","111 BTU-in/hr-ft-F @Temperature 212 F",
 ,"16.0 W/m-K @Temperature 300 C","111 BTU-in/hr-ft-F @Temperature 572 F",
 ,"19.0 W/m-K @Temperature 500 C","132 BTU-in/hr-ft-F @Temperature 932 F",
"Carbon, C ",<= 0.0300 %,<= 0.0300 %,Filler metal
 ,<= 0.0300 %,<= 0.0300 %,All-weld metal
"Iron, Fe ",9.0 %,9.0 %,Filler metal
 ,9.0 %,9.0 %,All-weld metal
"Molybdenum, Mo ",<= 0.100 %,<= 0.100 %,Filler metal
 ,<= 0.100 %,<= 0.100 %,All-weld metal
"Niobium, Nb (Columbium, Cb) ",<= 0.100 %,<= 0.100 %,Filler metal
 ,<= 0.100 %,<= 0.100 %,All-weld metal
"Silicon, Si ",0.20 %,0.20 %,Filler metal
 ,0.20 %,0.20 %,All-weld metal
"Titanium, Ti ",0.50 %,0.50 %,Filler metal
 ,0.50 %,0.50 %,All-weld metal
