,Metric,English,Comments
Density ,8.30 g/cc,0.300 lb/in,
Tensile Strength ,800 MPa,116000 psi,Annealed
 ,1000 MPa,145000 psi,"Soft drawn, final reduction 15% (No 1 temper)"
 ,1100 MPa,160000 psi,"Hard drawn, final reduction 65% (Spring temper), after heat treatment"
 ,1200 MPa,174000 psi,"Annealed, after heat treatment"
 ,1350 MPa,196000 psi,"Soft drawn, final reduction 15% (No 1 temper), after heat treatment"
 ,1600 MPa,232000 psi,"Hard drawn, final reduction 65% (Spring temper)"
 ,1850 MPa,268000 psi,"Hard drawn, final reduction 65% (Spring temper), after heat treatment"
Elongation at Break ,2.0 %,2.0 %,"Hard drawn, final reduction 65% (Spring temper)"
 ,20 %,20 %,"Soft drawn, final reduction 15% (No 1 temper)"
 ,34 %,34 %,Annealed
Shear Modulus ,70.0 GPa,10200 ksi,"Hard drawn, final reduction 65% (Spring temper)"
 ,74.0 GPa,10700 ksi,"Soft drawn, final reduction 15% (No 1 temper)"
 ,74.0 GPa,10700 ksi,Annealed
 ,81.5 GPa,11800 ksi,"Hard drawn, final reduction 65% (Spring temper), after heat treatment"
 ,81.5 GPa,11800 ksi,"Hard drawn, final reduction 65% (Spring temper), after heat treatment"
 ,83.0 GPa,12000 ksi,"Annealed, after heat treatment"
 ,85.0 GPa,12300 ksi,"Soft drawn, final reduction 15% (No 1 temper), after heat treatment"
Electrical Resistivity  ,"0.0000120 ohm-cm @Temperature 20.0 C","0.0000120 ohm-cm @Temperature 68.0 F",
 ,"0.0000125 ohm-cm @Temperature 100 C","0.0000125 ohm-cm @Temperature 212 F",
 ,"0.0000125 ohm-cm @Temperature 200 C","0.0000125 ohm-cm @Temperature 392 F",
 ,"0.0000125 ohm-cm @Temperature 300 C","0.0000125 ohm-cm @Temperature 572 F",
 ,"0.0000130 ohm-cm @Temperature 500 C","0.0000130 ohm-cm @Temperature 932 F",
 ,"0.0000130 ohm-cm @Temperature 700 C","0.0000130 ohm-cm @Temperature 1290 F",
"CTE, linear  ","12.2 m/m-C @Temperature 30.0 - 100 C","6.78 in/in-F @Temperature 86.0 - 212 F",
 ,"13.4 m/m-C @Temperature 30.0 - 300 C","7.44 in/in-F @Temperature 86.0 - 572 F",
