,Metric,English,Comments
Tensile Strength at Break  ,"470 - 630 MPa @Thickness 16.0 mm","68200 - 91400 psi @Thickness 0.630 in",
 ,"470 - 630 MPa @Thickness 16.0 - 50.0 mm","68200 - 91400 psi @Thickness 0.630 - 1.97 in",
Elongation at Break  ,"20 % @Thickness 16.0 mm","20 % @Thickness 0.630 in",
 ,"20 % @Thickness 16.0 - 50.0 mm","20 % @Thickness 0.630 - 1.97 in",
"Carbon, C ",<= 0.16 %,<= 0.16 %,
"Copper, Cu ",0.25 - 0.40 %,0.25 - 0.40 %,
"Manganese, Mn ",0.80 - 1.25 %,0.80 - 1.25 %,
"Phosphorous, P ",<= 0.030 %,<= 0.030 %,
"Sulfur, S ",<= 0.030 %,<= 0.030 %,
"Tensile Strength, Yield  ",">= 345 MPa @Thickness 16.0 - 50.0 mm",">= 50000 psi @Thickness 0.630 - 1.97 in",
 ,">= 355 MPa @Thickness 16.0 mm",">= 51500 psi @Thickness 0.630 in",
Charpy Impact ,"27.0 J @Thickness 10.0 mm,
Temperature -20.0 °C","19.9 ft-lb @Thickness 0.394 in,
Temperature -4.00 °F",
"Chromium, Cr ",0.40 - 0.65 %,0.40 - 0.65 %,
"Iron, Fe ",96.5 - 98.2 %,96.5 - 98.2 %,As Balance
"Nickel, Ni ",<= 0.40 %,<= 0.40 %,
"Silicon, Si ",0.30 - 0.50 %,0.30 - 0.50 %,
"Vanadium, V ",0.020 - 0.10 %,0.020 - 0.10 %,
